#: table_doi: 10.17182/hepdata.74447.v1/t150
#: name: Table 150
#: description: proton delta2 as a function of pT for centrality: 10-20%.

#: data_file: Table150.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,10-20%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.523065,0.00132338,9.69523e-05,-9.69523e-05,-7.51415e-05,7.51415e-05
0.702382,0.00181199,6.55292e-05,-6.55292e-05,-0.000146025,0.000146025
0.897963,0.00237847,6.43577e-05,-6.43577e-05,-0.000140347,0.000140347
1.09642,0.0027951,7.12157e-05,-7.12157e-05,-0.00013467,0.00013467
1.29563,0.00313802,8.20629e-05,-8.20629e-05,-0.000128992,0.000128992
1.49606,0.00337049,9.66549e-05,-9.66549e-05,-0.000123315,0.000123315
1.69551,0.0038725,0.000113687,-0.000113687,-0.000117637,0.000117637
1.89542,0.00392721,0.000134679,-0.000134679,-0.00011196,0.00011196
2.0953,0.00400897,0.000161231,-0.000161231,-0.000106282,0.000106282
2.29599,0.00478714,0.000191576,-0.000191576,-0.000100605,0.000100605
2.49571,0.00496815,0.000227209,-0.000227209,-9.49273e-05,9.49273e-05
2.69551,0.00535866,0.000269052,-0.000269052,-8.92498e-05,8.92498e-05
2.89568,0.0051439,0.000316179,-0.000316179,-8.35723e-05,8.35723e-05
3.09536,0.00590625,0.000372631,-0.000372631,-7.78948e-05,7.78948e-05
3.29569,0.00602925,0.000440729,-0.000440729,-7.22173e-05,7.22173e-05
3.49635,0.00716656,0.000517694,-0.000517694,-6.65398e-05,6.65398e-05
3.6966,0.00599615,0.000605152,-0.000605152,-6.08623e-05,6.08623e-05
3.89389,0.00692116,0.000703555,-0.000703555,-5.51848e-05,5.51848e-05
4.17954,0.00773496,0.000620425,-0.000620425,-4.66685e-05,4.66685e-05
4.58488,0.0077538,0.000820281,-0.000820281,-3.53135e-05,3.53135e-05
4.98416,0.00831358,0.00112824,-0.00112824,-2.39585e-05,2.39585e-05
5.38658,0.00948576,0.00147633,-0.00147633,-1.26035e-05,1.26035e-05
5.73584,0.00997451,0.0023114,-0.0023114,-2.66783e-06,2.66783e-06

