#: table_doi: 10.17182/hepdata.74447.v1/t97
#: name: Table 97
#: description: pion v4 as a function of pT for centrality: 40-50%.

#: data_file: Table97.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,40-50%
'pT [(GeV/c)]','v4','stat +','stat -','sys +','sys -'
0.412467,0.00193706,0.000616531,-0.000616531,-0.00501666,0.00501666
0.594104,0.00769292,0.000608885,-0.000608885,-0.00501847,0.00501847
0.792721,0.018162,0.000796818,-0.000796818,-0.00501822,0.00501822
0.993332,0.0273304,0.00105685,-0.00105685,-0.00502236,0.00502236
1.19387,0.0364636,0.00136858,-0.00136858,-0.00502197,0.00502197
1.39401,0.0433769,0.00174221,-0.00174221,-0.00503093,0.00503093
1.59433,0.0507572,0.00217992,-0.00217992,-0.0050359,0.0050359
1.79467,0.0526645,0.00271835,-0.00271835,-0.00504742,0.00504742
1.99484,0.0635462,0.00337047,-0.00337047,-0.0050433,0.0050433
2.19525,0.0623005,0.00413754,-0.00413754,-0.00505648,0.00505648
2.39543,0.0707117,0.00500556,-0.00500556,-0.00506087,0.00506087
2.5957,0.0524988,0.00599266,-0.00599266,-0.00509255,0.00509255
2.79606,0.0651733,0.00708969,-0.00708969,-0.00508461,0.00508461
3.08048,0.06371,0.00628633,-0.00628633,-0.00510353,0.00510353
3.48062,0.0546216,0.0085687,-0.0085687,-0.00513291,0.00513291
3.88144,0.0759597,0.0116129,-0.0116129,-0.00512726,0.00512726
4.36159,0.0316135,0.0133091,-0.0133091,-0.00520807,0.00520807
4.96685,0.0826716,0.0191581,-0.0191581,-0.00524443,0.00524443
5.57323,-0.000456817,0.0261984,-0.0261984,-0.00529068,0.00529068

