#: table_doi: 10.17182/hepdata.74447.v1/t132
#: name: Table 132
#: description: proton v5 as a function of pT for centrality: 40-50%.

#: data_file: Table132.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,40-50%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.528121,0.00516015,0.0196176,-0.0196176,-0.00517033,0.00517033
0.706205,-0.00109771,0.0114346,-0.0114346,-0.00511836,0.00511836
0.901241,-0.0174943,0.0099436,-0.0099436,-0.00503183,0.00503183
1.09904,-0.00525687,0.00798521,-0.00798521,-0.00508527,0.00508527
1.29786,-0.00530919,0.00731251,-0.00731251,-0.00523177,0.00523177
1.49686,0.000297357,0.00820935,-0.00820935,-0.00534305,0.00534305
1.69605,0.0101079,0.0095123,-0.0095123,-0.0055617,0.0055617
1.89575,0.0258224,0.0112233,-0.0112233,-0.0058139,0.0058139
2.09555,0.0280967,0.0133453,-0.0133453,-0.00609243,0.00609243
2.29553,0.0322383,0.0159343,-0.0159343,-0.00652628,0.00652628
2.57743,0.0492831,0.0146382,-0.0146382,-0.0070311,0.0070311
2.97769,0.0596829,0.0209784,-0.0209784,-0.0078743,0.0078743
3.37898,0.0570092,0.0297539,-0.0297539,-0.00879794,0.00879794
3.78106,0.0554908,0.0410086,-0.0410086,-0.00978337,0.00978337
4.3993,0.0327099,0.0404635,-0.0404635,-0.0116082,0.0116082
5.38206,0.0324108,0.0736147,-0.0736147,-0.0134144,0.0134144

