#: table_doi: 10.17182/hepdata.74447.v1/t92
#: name: Table 92
#: description: pion v4 as a function of pT for centrality: 0-5%.

#: data_file: Table92.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-5%
'pT [(GeV/c)]','v4','stat +','stat -','sys +','sys -'
0.413256,-0.00297699,0.000140698,-0.000140698,-0.00794384,0.00794384
0.594141,0.00318797,0.000136695,-0.000136695,-0.00792337,0.00792337
0.79239,0.0110618,0.000177629,-0.000177629,-0.00790351,0.00790351
0.992183,0.0187921,0.000239728,-0.000239728,-0.00789209,0.00789209
1.19288,0.0254945,0.000320805,-0.000320805,-0.00788808,0.00788808
1.39298,0.0326908,0.000422741,-0.000422741,-0.00788548,0.00788548
1.59342,0.038315,0.000547757,-0.000547757,-0.00788672,0.00788672
1.79389,0.0443311,0.000702712,-0.000702712,-0.00788346,0.00788346
1.99437,0.0520713,0.000891558,-0.000891558,-0.00788811,0.00788811
2.19441,0.0550393,0.0011178,-0.0011178,-0.00788672,0.00788672
2.39471,0.0584853,0.00139008,-0.00139008,-0.00789902,0.00789902
2.59498,0.0641698,0.00170922,-0.00170922,-0.00788772,0.00788772
2.79531,0.0650778,0.00207181,-0.00207181,-0.00789759,0.00789759
3.07797,0.0667459,0.00190188,-0.00190188,-0.00791406,0.00791406
3.47961,0.067054,0.00266091,-0.00266091,-0.00791395,0.00791395
3.8812,0.0709499,0.00363851,-0.00363851,-0.00792106,0.00792106
4.3588,0.0589188,0.00422473,-0.00422473,-0.00794882,0.00794882
4.96278,0.055266,0.00631548,-0.00631548,-0.00790108,0.00790108
5.56759,0.0446822,0.00908859,-0.00908859,-0.00798112,0.00798112

