#: table_doi: 10.17182/hepdata.74447.v1/t95
#: name: Table 95
#: description: pion v4 as a function of pT for centrality: 20-30%.

#: data_file: Table95.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','v4','stat +','stat -','sys +','sys -'
0.413018,0.00059222,0.00030749,-0.00030749,-0.00693315,0.00693315
0.594179,0.00719555,0.000299521,-0.000299521,-0.00692443,0.00692443
0.792546,0.0165482,0.000391868,-0.000391868,-0.00691469,0.00691469
0.992793,0.0248048,0.000526167,-0.000526167,-0.00690946,0.00690946
1.19337,0.0328906,0.000694319,-0.000694319,-0.00691291,0.00691291
1.39345,0.0418297,0.000901643,-0.000901643,-0.00691249,0.00691249
1.59396,0.0465699,0.00114769,-0.00114769,-0.00691677,0.00691677
1.79438,0.0547155,0.00145099,-0.00145099,-0.00691262,0.00691262
1.99485,0.0633559,0.00181265,-0.00181265,-0.00691271,0.00691271
2.19484,0.0658261,0.0022381,-0.0022381,-0.00692558,0.00692558
2.39517,0.0675946,0.00273816,-0.00273816,-0.00693343,0.00693343
2.59549,0.0733059,0.00331537,-0.00331537,-0.00691816,0.00691816
2.7955,0.0790736,0.00395985,-0.00395985,-0.00691731,0.00691731
3.08018,0.0756733,0.00355549,-0.00355549,-0.00695138,0.00695138
3.48138,0.0585073,0.00485328,-0.00485328,-0.0069614,0.0069614
3.88146,0.0598687,0.00652037,-0.00652037,-0.00696555,0.00696555
4.35902,0.0593758,0.00760051,-0.00760051,-0.00700022,0.00700022
4.96397,0.0719408,0.0113215,-0.0113215,-0.0069243,0.0069243
5.56903,0.0697839,0.0158547,-0.0158547,-0.00698688,0.00698688

