#: table_doi: 10.17182/hepdata.74447.v1/t205
#: name: Table 205
#: description: kaon delta5 as a function of pT for centrality: 5-10%.

#: data_file: Table205.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,5-10%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.432718,0.000390122,0.00101616,-0.00101616,-4.14109e-05,4.14109e-05
0.602588,0.000450366,0.000583914,-0.000583914,-3.20755e-05,3.20755e-05
0.797838,0.00114598,0.00058565,-0.00058565,-2.27401e-05,2.27401e-05
0.996625,0.000595272,0.00065215,-0.00065215,-1.34047e-05,1.34047e-05
1.19614,0.00119898,0.000747875,-0.000747875,-4.06931e-06,4.06931e-06
1.39539,0.00191492,0.000869357,-0.000869357,-5.2661e-06,5.2661e-06
1.59558,0.00172272,0.00100535,-0.00100535,-1.46015e-05,1.46015e-05
1.79546,0.00201482,0.0011919,-0.0011919,-2.39369e-05,2.39369e-05
1.99508,0.00210158,0.00142592,-0.00142592,-3.32723e-05,3.32723e-05
2.19541,0.00180291,0.00171802,-0.00171802,-4.26077e-05,4.26077e-05
2.47646,0.00462635,0.00160068,-0.00160068,-5.66109e-05,5.66109e-05
2.87672,0.00560297,0.00234626,-0.00234626,-7.52817e-05,7.52817e-05
3.27797,0.00711303,0.00337426,-0.00337426,-9.39525e-05,9.39525e-05
3.67711,0.00608517,0.00491693,-0.00491693,-0.000112623,0.000112623

