#: table_doi: 10.17182/hepdata.74447.v1/t129
#: name: Table 129
#: description: proton v5 as a function of pT for centrality: 10-20%.

#: data_file: Table129.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,10-20%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.52745,0.00189588,0.00811143,-0.00811143,-0.00892322,0.00892322
0.706794,-0.00316937,0.00466977,-0.00466977,-0.00894915,0.00894915
0.902159,0.00818537,0.00393252,-0.00393252,-0.00895345,0.00895345
1.10008,0.000134747,0.00304599,-0.00304599,-0.00898331,0.00898331
1.29871,-0.000928551,0.00271351,-0.00271351,-0.00907812,0.00907812
1.49787,0.000437337,0.00296637,-0.00296637,-0.00915446,0.00915446
1.69663,0.0101519,0.00335438,-0.00335438,-0.00929699,0.00929699
1.89617,0.0201154,0.00388108,-0.00388108,-0.00939467,0.00939467
2.09587,0.0215569,0.00454948,-0.00454948,-0.00967012,0.00967012
2.29576,0.0227496,0.00537725,-0.00537725,-0.0098997,0.0098997
2.57729,0.0243083,0.00490991,-0.00490991,-0.0102584,0.0102584
2.97624,0.0556783,0.00712213,-0.00712213,-0.0108801,0.0108801
3.37662,0.054714,0.010366,-0.010366,-0.0115929,0.0115929
3.77803,0.0233493,0.0148132,-0.0148132,-0.0124438,0.0124438
4.38068,0.0504286,0.015742,-0.015742,-0.0137013,0.0137013
5.37907,0.0769741,0.0302257,-0.0302257,-0.0155095,0.0155095

