#: table_doi: 10.17182/hepdata.74447.v1/t116
#: name: Table 116
#: description: pion v5 as a function of pT for centrality: 20-30%.

#: data_file: Table116.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.413018,-0.00240339,0.000635966,-0.000635966,-0.00482895,0.00482895
0.594179,-0.00314768,0.000622819,-0.000622819,-0.00488856,0.00488856
0.792546,0.00393196,0.000802942,-0.000802942,-0.00503098,0.00503098
0.992793,0.0116739,0.0010726,-0.0010726,-0.0052526,0.0052526
1.19337,0.0155679,0.00141493,-0.00141493,-0.0055437,0.0055437
1.39345,0.0231611,0.00183881,-0.00183881,-0.00589535,0.00589535
1.59396,0.0286455,0.00234088,-0.00234088,-0.00629628,0.00629628
1.79438,0.0299102,0.00295542,-0.00295542,-0.00673753,0.00673753
1.99485,0.0374529,0.00369462,-0.00369462,-0.00721324,0.00721324
2.19484,0.0437358,0.0045578,-0.0045578,-0.00771303,0.00771303
2.4764,0.047165,0.00429881,-0.00429881,-0.00850735,0.00850735
2.87915,0.0516346,0.00615527,-0.00615527,-0.00961883,0.00961883
3.28103,0.0511397,0.00847113,-0.00847113,-0.0107771,0.0107771
3.6814,0.0578897,0.0114453,-0.0114453,-0.0119676,0.0119676
4.28597,0.0670334,0.0115994,-0.0115994,-0.0141049,0.0141049
5.31082,0.0403366,0.0219321,-0.0219321,-0.0172377,0.0172377

