#: table_doi: 10.17182/hepdata.74447.v1/t37
#: name: Table 37
#: description: proton <uQ>4 as a function of pT for centrality: 0-1%.

#: data_file: Table37.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.526573,-0.0231732,0.0289276,-0.0289276,-0.00290747,0.00290747
0.706597,-0.0124832,0.0171862,-0.0171862,-0.00248386,0.00248386
0.902073,-0.0104608,0.0146391,-0.0146391,-0.00215517,0.00215517
1.09998,0.0275077,0.0140916,-0.0140916,-0.00196884,0.00196884
1.29875,-0.00205252,0.0144683,-0.0144683,-0.00197171,0.00197171
1.49825,0.066417,0.0155999,-0.0155999,-0.00215635,0.00215635
1.69688,0.125269,0.0173662,-0.0173662,-0.00248627,0.00248627
1.89632,0.171404,0.0198526,-0.0198526,-0.00291328,0.00291328
2.09604,0.231836,0.0230908,-0.0230908,-0.00339846,0.00339846
2.29574,0.326874,0.0272248,-0.0272248,-0.00392192,0.00392192
2.49548,0.376716,0.0324645,-0.0324645,-0.0044704,0.0044704
2.69517,0.519083,0.0392416,-0.0392416,-0.00503383,0.00503383
2.89505,0.53126,0.0474753,-0.0474753,-0.00561065,0.00561065
3.17541,0.545291,0.0449036,-0.0449036,-0.00649037,0.00649037
3.57529,0.779511,0.0670363,-0.0670363,-0.00767997,0.00767997
3.97729,0.877657,0.0986869,-0.0986869,-0.00888195,0.00888195
4.45129,0.67852,0.123144,-0.123144,-0.0104019,0.0104019
5.06199,0.721779,0.196931,-0.196931,-0.0122281,0.0122281
5.62749,0.914156,0.300414,-0.300414,-0.0139113,0.0139113

