#: table_doi: 10.17182/hepdata.74447.v1/t179
#: name: Table 179
#: description: pion delta4 as a function of pT for centrality: 20-30%.

#: data_file: Table179.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','delta4','stat +','stat -','sys +','sys -'
0.405699,0.000438361,9.37049e-05,-9.37049e-05,-3.44414e-05,3.44414e-05
0.593969,0.000654604,9.96178e-05,-9.96178e-05,-4.79956e-05,4.79956e-05
0.79382,0.00128511,0.000127208,-0.000127208,-6.15498e-05,6.15498e-05
0.993862,0.00172459,0.000160947,-0.000160947,-7.5104e-05,7.5104e-05
1.19403,0.00247343,0.00020275,-0.00020275,-8.86581e-05,8.86581e-05
1.39407,0.00334587,0.000254964,-0.000254964,-0.000102212,0.000102212
1.5945,0.00416652,0.000320014,-0.000320014,-0.000115767,0.000115767
1.79459,0.00471582,0.000396417,-0.000396417,-0.000129321,0.000129321
1.9946,0.00540798,0.000490372,-0.000490372,-0.000142875,0.000142875
2.19503,0.00647415,0.000604147,-0.000604147,-0.000156429,0.000156429
2.39502,0.00747618,0.000735677,-0.000735677,-0.000169983,0.000169983
2.59533,0.00852004,0.000889203,-0.000889203,-0.000183538,0.000183538
2.79575,0.0070212,0.00105857,-0.00105857,-0.000197092,0.000197092
3.08049,0.00970443,0.000944988,-0.000944988,-0.000217423,0.000217423
3.48249,0.0118933,0.00125661,-0.00125661,-0.000244531,0.000244531
3.88395,0.0103138,0.00163743,-0.00163743,-0.00027164,0.00027164
4.36832,0.0101167,0.00179653,-0.00179653,-0.000305525,0.000305525
4.96811,0.0171738,0.00249257,-0.00249257,-0.000346188,0.000346188
5.5712,0.0159839,0.0033579,-0.0033579,-0.00038685,0.00038685

