#: table_doi: 10.17182/hepdata.74447.v1/t47
#: name: Table 47
#: description: proton <uQ>5 as a function of pT for centrality: 20-30%.

#: data_file: Table47.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.527802,-0.0180664,0.017747,-0.017747,-0.00396616,0.00396616
0.706814,0.00174132,0.0102406,-0.0102406,-0.00385381,0.00385381
0.901975,-0.00149843,0.00870083,-0.00870083,-0.00383577,0.00383577
1.0999,0.010673,0.00841753,-0.00841753,-0.00388104,0.00388104
1.29851,0.0093644,0.00868206,-0.00868206,-0.00403491,0.00403491
1.4976,0.0163688,0.00946328,-0.00946328,-0.00424061,0.00424061
1.69648,0.0377874,0.0107229,-0.0107229,-0.00450364,0.00450364
1.89606,0.0394353,0.012421,-0.012421,-0.00483585,0.00483585
2.09579,0.0677067,0.0146251,-0.0146251,-0.00520296,0.00520296
2.29567,0.0943306,0.0173948,-0.0173948,-0.00560338,0.00560338
2.57727,0.114351,0.0159234,-0.0159234,-0.00627191,0.00627191
2.9767,0.142452,0.0230505,-0.0230505,-0.00719968,0.00719968
3.37694,0.123846,0.0333751,-0.0333751,-0.00818219,0.00818219
3.77853,0.18742,0.0476115,-0.0476115,-0.00922516,0.00922516
4.38825,0.147088,0.0499657,-0.0499657,-0.0110551,0.0110551
5.3852,0.292242,0.0951854,-0.0951854,-0.0122499,0.0122499

