#: table_doi: 10.17182/hepdata.74447.v1/t63
#: name: Table 63
#: description: proton v2 as a function of pT for centrality: 0-1%.

#: data_file: Table63.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.526573,-0.0020222,0.00218848,-0.00218848,-0.00350986,0.00350986
0.706597,-0.00328004,0.00133301,-0.00133301,-0.00350757,0.00350757
0.902073,0.00165747,0.00114756,-0.00114756,-0.00350032,0.00350032
1.09998,0.00578441,0.0009335,-0.0009335,-0.0034979,0.0034979
1.29875,0.0118834,0.000843056,-0.000843056,-0.00348822,0.00348822
1.49825,0.0189179,0.000910879,-0.000910879,-0.00348436,0.00348436
1.69688,0.025802,0.00101499,-0.00101499,-0.00347786,0.00347786
1.89632,0.0332839,0.00115973,-0.00115973,-0.00347129,0.00347129
2.09604,0.0350772,0.00134913,-0.00134913,-0.00346776,0.00346776
2.29574,0.0427859,0.00159583,-0.00159583,-0.00345674,0.00345674
2.49548,0.0446726,0.00189982,-0.00189982,-0.00346003,0.00346003
2.69517,0.0495116,0.00229058,-0.00229058,-0.00344832,0.00344832
2.89505,0.0484741,0.00277521,-0.00277521,-0.00345305,0.00345305
3.09507,0.0522593,0.00339202,-0.00339202,-0.00344101,0.00344101
3.29499,0.058918,0.00412623,-0.00412623,-0.00342881,0.00342881
3.49496,0.0434576,0.00502433,-0.00502433,-0.0034353,0.0034353
3.69491,0.0429369,0.00615827,-0.00615827,-0.00343879,0.00343879
3.89526,0.0380882,0.00753775,-0.00753775,-0.00342829,0.00342829
4.17813,0.0342834,0.00688843,-0.00688843,-0.00342765,0.00342765
4.57916,0.0445632,0.00977968,-0.00977968,-0.00343458,0.00343458
4.98334,0.047189,0.0132233,-0.0132233,-0.00339546,0.00339546
5.38439,0.021822,0.0171968,-0.0171968,-0.0034352,0.0034352
5.74321,-0.00980309,0.0248158,-0.0248158,-0.00341546,0.00341546

