#: table_doi: 10.17182/hepdata.74447.v1/t124
#: name: Table 124
#: description: kaon v5 as a function of pT for centrality: 30-40%.

#: data_file: Table124.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,30-40%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.437577,-0.0110783,0.00547299,-0.00547299,-0.00751815,0.00751815
0.606705,-0.00391869,0.00273937,-0.00273937,-0.00748056,0.00748056
0.799601,-0.000176845,0.00251957,-0.00251957,-0.00745688,0.00745688
0.996977,0.00605093,0.00273268,-0.00273268,-0.00745535,0.00745535
1.19574,0.0116034,0.0031632,-0.0031632,-0.00746789,0.00746789
1.39484,0.0170687,0.00378584,-0.00378584,-0.00748623,0.00748623
1.59483,0.0230457,0.0045833,-0.0045833,-0.00752614,0.00752614
1.79498,0.0312603,0.00558979,-0.00558979,-0.00757234,0.00757234
1.99528,0.0263311,0.00677421,-0.00677421,-0.00762703,0.00762703
2.1956,0.0271345,0.0081205,-0.0081205,-0.00770736,0.00770736
2.48032,0.0370377,0.00732837,-0.00732837,-0.00782477,0.00782477
2.88187,0.034923,0.0100545,-0.0100545,-0.00806528,0.00806528
3.28226,0.0406894,0.013618,-0.013618,-0.00830473,0.00830473
3.68023,0.0543812,0.0186953,-0.0186953,-0.00856446,0.00856446

