#: table_doi: 10.17182/hepdata.74447.v1/t196
#: name: Table 196
#: description: pion delta5 as a function of pT for centrality: 0-1%.

#: data_file: Table196.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-1%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.405699,0.000396694,0.000133117,-0.000133117,-8.71614e-05,8.71614e-05
0.593969,0.000401718,0.000141483,-0.000141483,-6.5079e-05,6.5079e-05
0.79382,0.000465066,0.000180607,-0.000180607,-4.29965e-05,4.29965e-05
0.993862,0.000919103,0.000228796,-0.000228796,-2.09141e-05,2.09141e-05
1.19403,0.00143662,0.00028852,-0.00028852,-1.16835e-06,1.16835e-06
1.39407,0.00192759,0.000362955,-0.000362955,-2.32508e-05,2.32508e-05
1.5945,0.00252781,0.000455807,-0.000455807,-4.53332e-05,4.53332e-05
1.79459,0.00307805,0.000564491,-0.000564491,-6.74157e-05,6.74157e-05
1.9946,0.00222773,0.00069652,-0.00069652,-8.94981e-05,8.94981e-05
2.19503,0.00276509,0.000858229,-0.000858229,-0.000111581,0.000111581
2.47634,0.00416991,0.000805598,-0.000805598,-0.000144704,0.000144704
2.87967,0.00563743,0.00114611,-0.00114611,-0.000188869,0.000188869
3.28293,0.00531154,0.00155541,-0.00155541,-0.000233034,0.000233034
3.68327,0.00388888,0.00203999,-0.00203999,-0.000277199,0.000277199
4.30754,0.00693018,0.00193454,-0.00193454,-0.000354487,0.000354487
5.32003,0.00622452,0.0033121,-0.0033121,-0.0004649,0.0004649

