#: table_doi: 10.17182/hepdata.74447.v1/t9
#: name: Table 9
#: description: proton <uQ>4 as a function of pT in pp collision.

#: data_file: Table9.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.523065,-0.000501431,0.0032776,-0.0032776,-0.000700477,0.000700477
0.702382,0.0042548,0.0022153,-0.0022153,-0.00107401,0.00107401
0.897963,0.00660867,0.00217569,-0.00217569,-0.00144753,0.00144753
1.09642,0.0107653,0.00240753,-0.00240753,-0.00182106,0.00182106
1.29563,0.0113716,0.00277423,-0.00277423,-0.00219459,0.00219459
1.49606,0.0166882,0.00326754,-0.00326754,-0.00256812,0.00256812
1.69551,0.0154568,0.00384333,-0.00384333,-0.00294165,0.00294165
1.89542,0.0246352,0.00455297,-0.00455297,-0.00331518,0.00331518
2.0953,0.0286361,0.00545061,-0.00545061,-0.00368871,0.00368871
2.29599,0.0243491,0.00647646,-0.00647646,-0.00406223,0.00406223
2.49571,0.0346083,0.0076811,-0.0076811,-0.00443576,0.00443576
2.69551,0.0327447,0.00909566,-0.00909566,-0.00480929,0.00480929
2.89568,0.0424808,0.0106889,-0.0106889,-0.00518282,0.00518282
3.1778,0.0400974,0.00961975,-0.00961975,-0.00574311,0.00574311
3.57913,0.0581904,0.0132989,-0.0132989,-0.00649017,0.00649017
3.9768,0.0324008,0.0180427,-0.0180427,-0.00723723,0.00723723
4.45917,0.0345413,0.0209915,-0.0209915,-0.00817105,0.00817105
5.0647,0.0970575,0.0330275,-0.0330275,-0.00929164,0.00929164
5.6173,0.0727158,0.054565,-0.054565,-0.0103188,0.0103188

