#: table_doi: 10.17182/hepdata.74447.v1/t142
#: name: Table 142
#: description: kaon delta2 as a function of pT for centrality: 5-10%.

#: data_file: Table142.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,5-10%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.432718,0.00117518,0.000107948,-0.000107948,-4.87014e-05,4.87014e-05
0.602588,0.00152756,6.2028e-05,-6.2028e-05,-5.92303e-05,5.92303e-05
0.797838,0.00217236,6.2209e-05,-6.2209e-05,-6.15007e-05,6.15007e-05
0.996625,0.00263591,6.92781e-05,-6.92781e-05,-6.37711e-05,6.37711e-05
1.19614,0.00297648,7.94429e-05,-7.94429e-05,-6.60415e-05,6.60415e-05
1.39539,0.00353481,9.23441e-05,-9.23441e-05,-6.83118e-05,6.83118e-05
1.59558,0.00355198,0.000106794,-0.000106794,-7.05822e-05,7.05822e-05
1.79546,0.00393231,0.000126611,-0.000126611,-7.28526e-05,7.28526e-05
1.99508,0.00438269,0.000151472,-0.000151472,-7.5123e-05,7.5123e-05
2.19541,0.00461856,0.000182504,-0.000182504,-7.73934e-05,7.73934e-05
2.39532,0.00500551,0.000221095,-0.000221095,-7.96638e-05,7.96638e-05
2.59488,0.00560202,0.000265972,-0.000265972,-8.19342e-05,8.19342e-05
2.79488,0.00608015,0.000324876,-0.000324876,-8.42046e-05,8.42046e-05
2.9951,0.00574929,0.00038854,-0.00038854,-8.64749e-05,8.64749e-05
3.19652,0.00596172,0.000466487,-0.000466487,-8.87453e-05,8.87453e-05
3.3945,0.00590999,0.000560054,-0.000560054,-9.10157e-05,9.10157e-05
3.59507,0.00747429,0.000681496,-0.000681496,-9.32861e-05,9.32861e-05
3.79651,0.00816548,0.000813171,-0.000813171,-9.55565e-05,9.55565e-05

