#: table_doi: 10.17182/hepdata.74447.v1/t1
#: name: Table 1
#: description: pion <uQ>2 as a function of pT in pp collision.

#: data_file: Table1.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.405699,0.0421668,0.000505028,-0.000505028,-0.00554646,0.00554646
0.593969,0.0647985,0.00053687,-0.00053687,-0.006183,0.006183
0.79382,0.0864323,0.000685475,-0.000685475,-0.00681955,0.00681955
0.993862,0.103181,0.00086726,-0.00086726,-0.00745609,0.00745609
1.19403,0.119154,0.00109244,-0.00109244,-0.00809263,0.00809263
1.39407,0.131838,0.0013737,-0.0013737,-0.00872917,0.00872917
1.5945,0.143594,0.00172419,-0.00172419,-0.00936572,0.00936572
1.79459,0.15354,0.00213596,-0.00213596,-0.0100023,0.0100023
1.9946,0.166416,0.00264232,-0.00264232,-0.0106388,0.0106388
2.19503,0.176288,0.00325544,-0.00325544,-0.0112753,0.0112753
2.39502,0.179846,0.00396429,-0.00396429,-0.0119119,0.0119119
2.59533,0.195242,0.00479169,-0.00479169,-0.0125484,0.0125484
2.79575,0.208452,0.00570494,-0.00570494,-0.013185,0.013185
2.99589,0.222777,0.00670421,-0.00670421,-0.0138215,0.0138215
3.19627,0.237481,0.00783068,-0.00783068,-0.0144581,0.0144581
3.39666,0.240833,0.00898604,-0.00898604,-0.0150946,0.0150946
3.59657,0.245221,0.0103033,-0.0103033,-0.0157311,0.0157311
3.79698,0.251688,0.0117508,-0.0117508,-0.0163677,0.0163677
4.085,0.272279,0.0100314,-0.0100314,-0.0173225,0.0173225
4.48648,0.286935,0.0125724,-0.0125724,-0.0185956,0.0185956
4.88692,0.312239,0.0156671,-0.0156671,-0.0198687,0.0198687
5.28891,0.332059,0.0192816,-0.0192816,-0.0211418,0.0211418
5.68944,0.345795,0.0233743,-0.0233743,-0.0224148,0.0224148

