#: table_doi: 10.17182/hepdata.74447.v1/t153
#: name: Table 153
#: description: proton delta2 as a function of pT for centrality: 40-50%.

#: data_file: Table153.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,40-50%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.523065,0.00301048,0.00022055,-0.00022055,-0.000170934,0.000170934
0.702382,0.00412197,0.000149069,-0.000149069,-0.000332182,0.000332182
0.897963,0.00541063,0.000146404,-0.000146404,-0.000319267,0.000319267
1.09642,0.00635838,0.000162005,-0.000162005,-0.000306351,0.000306351
1.29563,0.00713847,0.000186681,-0.000186681,-0.000293436,0.000293436
1.49606,0.0076673,0.000219875,-0.000219875,-0.000280521,0.000280521
1.69551,0.00880928,0.000258621,-0.000258621,-0.000267605,0.000267605
1.89542,0.00893374,0.000306373,-0.000306373,-0.00025469,0.00025469
2.0953,0.00911973,0.000366774,-0.000366774,-0.000241774,0.000241774
2.29599,0.0108899,0.000435804,-0.000435804,-0.000228859,0.000228859
2.49571,0.0113017,0.000516865,-0.000516865,-0.000215944,0.000215944
2.69551,0.0121901,0.00061205,-0.00061205,-0.000203028,0.000203028
2.89568,0.0117015,0.000719256,-0.000719256,-0.000190113,0.000190113
3.09536,0.0134357,0.000847673,-0.000847673,-0.000177198,0.000177198
3.29569,0.0137155,0.00100259,-0.00100259,-0.000164282,0.000164282
3.49635,0.0163027,0.00117767,-0.00117767,-0.000151367,0.000151367
3.6966,0.0136402,0.00137662,-0.00137662,-0.000138451,0.000138451
3.89389,0.0157445,0.00160047,-0.00160047,-0.000125536,0.000125536
4.17954,0.0175957,0.00141136,-0.00141136,-0.000106163,0.000106163
4.58488,0.0176386,0.001866,-0.001866,-8.03323e-05,8.03323e-05
4.98416,0.018912,0.00256657,-0.00256657,-5.45015e-05,5.45015e-05
5.38658,0.0215785,0.0033584,-0.0033584,-2.86708e-05,2.86708e-05
5.73584,0.0226903,0.00525806,-0.00525806,-6.06886e-06,6.06886e-06

