#: table_doi: 10.17182/hepdata.74447.v1/t200
#: name: Table 200
#: description: pion delta5 as a function of pT for centrality: 20-30%.

#: data_file: Table200.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.405699,0.000598448,0.000200626,-0.000200626,-0.000131473,0.000131473
0.593969,0.000606049,0.000213262,-0.000213262,-9.8164e-05,9.8164e-05
0.79382,0.000701508,0.000272272,-0.000272272,-6.48552e-05,6.48552e-05
0.993862,0.00138638,0.00034463,-0.00034463,-3.15465e-05,3.15465e-05
1.19403,0.00216756,0.000434276,-0.000434276,-1.76232e-06,1.76232e-06
1.39407,0.00290766,0.000546166,-0.000546166,-3.50711e-05,3.50711e-05
1.5945,0.00381675,0.000685645,-0.000685645,-6.83799e-05,6.83799e-05
1.79459,0.00464437,0.000849303,-0.000849303,-0.000101689,0.000101689
1.9946,0.00336051,0.00104971,-0.00104971,-0.000134997,0.000134997
2.19503,0.00417129,0.00129332,-0.00129332,-0.000168306,0.000168306
2.47634,0.00629241,0.00121366,-0.00121366,-0.000218269,0.000218269
2.87967,0.00851107,0.00172646,-0.00172646,-0.000284887,0.000284887
3.28293,0.00801253,0.0023449,-0.0023449,-0.000351505,0.000351505
3.68327,0.005867,0.00307652,-0.00307652,-0.000418122,0.000418122
4.30754,0.0104568,0.00291702,-0.00291702,-0.000534703,0.000534703
5.32003,0.00939193,0.00499503,-0.00499503,-0.000701247,0.000701247

