#: table_doi: 10.17182/hepdata.74447.v1/t44
#: name: Table 44
#: description: kaon <uQ>5 as a function of pT for centrality: 20-30%.

#: data_file: Table44.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.437558,-0.0185109,0.00976764,-0.00976764,-0.00822334,0.00822334
0.606926,-0.0133036,0.00475344,-0.00475344,-0.00819326,0.00819326
0.799831,0.00364777,0.00425947,-0.00425947,-0.00817167,0.00817167
0.997183,0.016733,0.00457153,-0.00457153,-0.00816649,0.00816649
1.19571,0.0267047,0.0053016,-0.0053016,-0.00817444,0.00817444
1.39484,0.0412051,0.006417,-0.006417,-0.00818679,0.00818679
1.59479,0.0624477,0.00790092,-0.00790092,-0.00822213,0.00822213
1.79498,0.0773971,0.00973568,-0.00973568,-0.0082647,0.0082647
1.9952,0.0798884,0.0118452,-0.0118452,-0.00832481,0.00832481
2.19544,0.124672,0.0143656,-0.0143656,-0.00839291,0.00839291
2.47929,0.102347,0.0129626,-0.0129626,-0.00851707,0.00851707
2.88083,0.124803,0.0178385,-0.0178385,-0.00869704,0.00869704
3.28185,0.0927923,0.0240413,-0.0240413,-0.0089568,0.0089568
3.68158,0.158882,0.032132,-0.032132,-0.00918063,0.00918063

