#: table_doi: 10.17182/hepdata.74447.v1/t215
#: name: Table 215
#: description: proton delta5 as a function of pT for centrality: 30-40%.

#: data_file: Table215.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,30-40%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.523065,-0.00248416,0.00178013,-0.00178013,-0.000319557,0.000319557
0.702382,0.000258215,0.00120299,-0.00120299,-0.000322171,0.000322171
0.897963,-0.000225709,0.00118165,-0.00118165,-0.000324786,0.000324786
1.09642,0.00291036,0.00130786,-0.00130786,-0.0003274,0.0003274
1.29563,0.00294597,0.00150686,-0.00150686,-0.000330015,0.000330015
1.49606,0.0036694,0.00177487,-0.00177487,-0.000332629,0.000332629
1.69551,0.00437102,0.00208761,-0.00208761,-0.000335243,0.000335243
1.89542,0.00321727,0.0024728,-0.0024728,-0.000337858,0.000337858
2.0953,0.00358019,0.00296007,-0.00296007,-0.000340472,0.000340472
2.29599,0.00227003,0.00351717,-0.00351717,-0.000343087,0.000343087
2.57792,0.00610365,0.00318718,-0.00318718,-0.000347008,0.000347008
2.97788,0.00773379,0.00442657,-0.00442657,-0.000352237,0.000352237
3.37848,0.00568885,0.00616086,-0.00616086,-0.000357466,0.000357466
3.78082,0.0198949,0.00842432,-0.00842432,-0.000362695,0.000362695
4.37668,0.0224899,0.00862429,-0.00862429,-0.000371845,0.000371845
5.3546,0.0239676,0.0185135,-0.0185135,-0.000351362,0.000351362

