#: table_doi: 10.17182/hepdata.74447.v1/t23
#: name: Table 23
#: description: pion <uQ>3 as a function of pT for centrality: 20-30%.

#: data_file: Table23.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.413018,0.146697,0.00177978,-0.00177978,-0.00315257,0.00315257
0.594179,0.273028,0.00173822,-0.00173822,-0.00314085,0.00314085
0.792546,0.409875,0.00230263,-0.00230263,-0.00313661,0.00313661
0.992793,0.547411,0.00311282,-0.00311282,-0.00313671,0.00313671
1.19337,0.672083,0.00411714,-0.00411714,-0.00314222,0.00314222
1.39345,0.800215,0.00535303,-0.00535303,-0.00315005,0.00315005
1.59396,0.912792,0.00681201,-0.00681201,-0.00316164,0.00316164
1.79438,1.00284,0.0086046,-0.0086046,-0.00318012,0.00318012
1.99485,1.05819,0.0107509,-0.0107509,-0.00320565,0.00320565
2.19484,1.1217,0.0132681,-0.0132681,-0.00322469,0.00322469
2.39517,1.19074,0.016196,-0.016196,-0.00325457,0.00325457
2.59549,1.19901,0.019625,-0.019625,-0.00328835,0.00328835
2.7955,1.2209,0.0234508,-0.0234508,-0.00332543,0.00332543
2.99604,1.23738,0.0277333,-0.0277333,-0.00335708,0.00335708
3.19627,1.22716,0.032556,-0.032556,-0.00340842,0.00340842
3.39616,1.20322,0.0379181,-0.0379181,-0.00344688,0.00344688
3.5964,1.15979,0.0440034,-0.0440034,-0.00350535,0.00350535
3.79616,1.09414,0.0512295,-0.0512295,-0.0035646,0.0035646
4.0814,1.03592,0.0448347,-0.0448347,-0.00364235,0.00364235
4.48303,1.02829,0.0601216,-0.0601216,-0.0037534,0.0037534
4.88402,0.810732,0.0783949,-0.0783949,-0.00388741,0.00388741
5.28602,0.793193,0.0997058,-0.0997058,-0.00402067,0.00402067
5.68643,0.732204,0.12255,-0.12255,-0.00419333,0.00419333

