#: table_doi: 10.17182/hepdata.74447.v1/t33
#: name: Table 33
#: description: pion <uQ>4 as a function of pT for centrality: 40-50%.

#: data_file: Table33.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,40-50%
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.412467,0.00727986,0.00148795,-0.00148795,-0.00501666,0.00501666
0.594104,0.0230819,0.00146649,-0.00146649,-0.00501847,0.00501847
0.792721,0.0531167,0.00195109,-0.00195109,-0.00501822,0.00501822
0.993332,0.0789324,0.0026155,-0.0026155,-0.00502236,0.00502236
1.19387,0.106262,0.00340401,-0.00340401,-0.00502197,0.00502197
1.39401,0.128559,0.00432703,-0.00432703,-0.00503093,0.00503093
1.59433,0.151832,0.00539949,-0.00539949,-0.0050359,0.0050359
1.79467,0.159638,0.00669444,-0.00669444,-0.00504742,0.00504742
1.99484,0.191123,0.00829471,-0.00829471,-0.0050433,0.0050433
2.19525,0.193709,0.0101313,-0.0101313,-0.00505648,0.00505648
2.39543,0.220546,0.0122347,-0.0122347,-0.00506087,0.00506087
2.5957,0.179721,0.0145632,-0.0145632,-0.00509255,0.00509255
2.79606,0.203963,0.0172119,-0.0172119,-0.00508461,0.00508461
3.08048,0.214595,0.0152351,-0.0152351,-0.00510353,0.00510353
3.48062,0.203275,0.0207897,-0.0207897,-0.00513291,0.00513291
3.88144,0.249051,0.0282853,-0.0282853,-0.00512726,0.00512726
4.36159,0.135042,0.0325149,-0.0325149,-0.00520807,0.00520807
4.96685,0.303288,0.0469645,-0.0469645,-0.00524443,0.00524443
5.57323,0.0848925,0.0642789,-0.0642789,-0.00529068,0.00529068

