#: table_doi: 10.17182/hepdata.74447.v1/t21
#: name: Table 21
#: description: proton <uQ>2 as a function of pT for centrality: 40-50%.

#: data_file: Table21.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,40-50%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.528121,0.333853,0.0258196,-0.0258196,-0.00479787,0.00479787
0.706205,0.568038,0.0149596,-0.0149596,-0.00478853,0.00478853
0.901241,0.891854,0.0130626,-0.0130626,-0.00479012,0.00479012
1.09904,1.32651,0.0130056,-0.0130056,-0.00478501,0.00478501
1.29786,1.80644,0.0137759,-0.0137759,-0.00477808,0.00477808
1.49686,2.28823,0.0153657,-0.0153657,-0.00477495,0.00477495
1.69605,2.73899,0.0177664,-0.0177664,-0.00476093,0.00476093
1.89575,3.07611,0.0209016,-0.0209016,-0.00475903,0.00475903
2.09555,3.44508,0.0248728,-0.0248728,-0.00474463,0.00474463
2.29553,3.716,0.0296001,-0.0296001,-0.0047417,0.0047417
2.49551,3.98627,0.0356024,-0.0356024,-0.00473258,0.00473258
2.69547,4.19577,0.0425532,-0.0425532,-0.00472265,0.00472265
2.89568,4.31025,0.0515014,-0.0515014,-0.00471531,0.00471531
3.09528,4.25455,0.0617067,-0.0617067,-0.00472156,0.00472156
3.29557,4.49325,0.0732143,-0.0732143,-0.00470578,0.00470578
3.49587,4.39585,0.0870056,-0.0870056,-0.0047302,0.0047302
3.69577,4.28795,0.102211,-0.102211,-0.00471592,0.00471592
3.89585,4.14542,0.118994,-0.118994,-0.00470299,0.00470299
4.1828,4.06158,0.103736,-0.103736,-0.00469359,0.00469359
4.58544,3.64656,0.135112,-0.135112,-0.00467954,0.00467954
4.9848,3.73446,0.171712,-0.171712,-0.00467141,0.00467141
5.38648,2.95868,0.209853,-0.209853,-0.00469339,0.00469339
5.74307,2.84849,0.289899,-0.289899,-0.00469877,0.00469877

