#: table_doi: 10.17182/hepdata.74447.v1/t12
#: name: Table 12
#: description: proton <uQ>5 as a function of pT in pp collision.

#: data_file: Table12.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.523065,-0.00457493,0.0032776,-0.0032776,-0.00117696,0.00117696
0.702382,0.000475573,0.0022153,-0.0022153,-0.00118659,0.00118659
0.897963,-0.000415899,0.00217569,-0.00217569,-0.00119622,0.00119622
1.09642,0.00536166,0.00240753,-0.00240753,-0.00120585,0.00120585
1.29563,0.00542526,0.00277423,-0.00277423,-0.00121548,0.00121548
1.49606,0.00675769,0.00326754,-0.00326754,-0.00122511,0.00122511
1.69551,0.00804948,0.00384333,-0.00384333,-0.00123474,0.00123474
1.89542,0.00592608,0.00455297,-0.00455297,-0.00124437,0.00124437
2.0953,0.00659312,0.00545061,-0.00545061,-0.001254,0.001254
2.29599,0.00418159,0.00647646,-0.00647646,-0.00126362,0.00126362
2.57792,0.0112417,0.00586849,-0.00586849,-0.00127807,0.00127807
2.97788,0.0142467,0.00815027,-0.00815027,-0.00129733,0.00129733
3.37848,0.010477,0.011345,-0.011345,-0.00131658,0.00131658
3.78082,0.0366491,0.0155099,-0.0155099,-0.00133584,0.00133584
4.37668,0.0414262,0.01588,-0.01588,-0.00136955,0.00136955
5.3546,0.0441713,0.0340872,-0.0340872,-0.000882809,0.000882809

