#: table_doi: 10.17182/hepdata.74447.v1/t212
#: name: Table 212
#: description: proton delta5 as a function of pT for centrality: 5-10%.

#: data_file: Table212.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,5-10%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.523065,-0.00133661,0.000957657,-0.000957657,-0.000171933,0.000171933
0.702382,0.00013894,0.000647237,-0.000647237,-0.00017334,0.00017334
0.897963,-0.000121486,0.000635695,-0.000635695,-0.000174746,0.000174746
1.09642,0.00156627,0.000703491,-0.000703491,-0.000176153,0.000176153
1.29563,0.00158506,0.000810603,-0.000810603,-0.000177559,0.000177559
1.49606,0.00197432,0.000954754,-0.000954754,-0.000178966,0.000178966
1.69551,0.00235177,0.00112299,-0.00112299,-0.000180373,0.000180373
1.89542,0.00173125,0.0013303,-0.0013303,-0.000181779,0.000181779
2.0953,0.00192627,0.00159252,-0.00159252,-0.000183186,0.000183186
2.29599,0.00122159,0.00189225,-0.00189225,-0.000184593,0.000184593
2.57792,0.00328427,0.00171465,-0.00171465,-0.000186703,0.000186703
2.97788,0.00416192,0.00238136,-0.00238136,-0.000189516,0.000189516
3.37848,0.00306093,0.00331466,-0.00331466,-0.000192329,0.000192329
3.78082,0.0107064,0.00453183,-0.00453183,-0.000195143,0.000195143
4.37668,0.0121022,0.00463977,-0.00463977,-0.000200066,0.000200066
5.3546,0.0129018,0.00995969,-0.00995969,-0.000164786,0.000164786

