#: table_doi: 10.17182/hepdata.74447.v1/t122
#: name: Table 122
#: description: kaon v5 as a function of pT for centrality: 10-20%.

#: data_file: Table122.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,10-20%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.437562,-0.0112784,0.00311955,-0.00311955,-0.00937241,0.00937241
0.607006,-0.00851148,0.00154854,-0.00154854,-0.00937956,0.00937956
0.799918,-0.000734559,0.00141463,-0.00141463,-0.00933851,0.00933851
0.997376,0.00531182,0.00152495,-0.00152495,-0.0093119,0.0093119
1.19566,0.012281,0.00176174,-0.00176174,-0.00931059,0.00931059
1.39473,0.0155907,0.00211279,-0.00211279,-0.00931979,0.00931979
1.59466,0.0164893,0.00256405,-0.00256405,-0.00935069,0.00935069
1.79484,0.0256522,0.00314475,-0.00314475,-0.00938412,0.00938412
1.9951,0.0316887,0.00384148,-0.00384148,-0.0094186,0.0094186
2.19531,0.0379366,0.00465417,-0.00465417,-0.00948492,0.00948492
2.4782,0.0330436,0.00430829,-0.00430829,-0.00961357,0.00961357
2.87997,0.0500817,0.00611437,-0.00611437,-0.00976543,0.00976543
3.2813,0.0476867,0.00846295,-0.00846295,-0.00998253,0.00998253
3.68252,0.0421595,0.0116156,-0.0116156,-0.0102549,0.0102549

