#: table_doi: 10.17182/hepdata.74447.v1/t15
#: name: Table 15
#: description: pion <uQ>2 as a function of pT for centrality: 40-50%.

#: data_file: Table15.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,40-50%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.412467,1.00109,0.00229874,-0.00229874,-0.00145231,0.00145231
0.594104,1.46732,0.00225278,-0.00225278,-0.00154539,0.00154539
0.792721,1.92579,0.00297335,-0.00297335,-0.00170277,0.00170277
0.993332,2.31897,0.00396682,-0.00396682,-0.00190885,0.00190885
1.19387,2.65332,0.00514919,-0.00514919,-0.00214961,0.00214961
1.39401,2.91188,0.00656745,-0.00656745,-0.0024148,0.0024148
1.59433,3.12136,0.00820929,-0.00820929,-0.00269704,0.00269704
1.79467,3.28141,0.0102504,-0.0102504,-0.00299185,0.00299185
1.99484,3.3687,0.0127257,-0.0127257,-0.00329549,0.00329549
2.19525,3.44037,0.0156085,-0.0156085,-0.00360579,0.00360579
2.39543,3.48039,0.0188832,-0.0188832,-0.00392129,0.00392129
2.5957,3.42605,0.0226029,-0.0226029,-0.00424085,0.00424085
2.79606,3.42215,0.0266836,-0.0266836,-0.0045634,0.0045634
2.99588,3.38763,0.0312547,-0.0312547,-0.00488872,0.00488872
3.19602,3.25232,0.036582,-0.036582,-0.0052158,0.0052158
3.39622,3.24167,0.0426731,-0.0426731,-0.00554463,0.00554463
3.59654,3.27063,0.0502094,-0.0502094,-0.00587477,0.00587477
3.79649,3.09903,0.0585667,-0.0585667,-0.00620657,0.00620657
4.08238,3.01419,0.0514674,-0.0514674,-0.00670533,0.00670533
4.48451,2.73251,0.0670631,-0.0670631,-0.00737344,0.00737344
4.88569,2.43444,0.0851611,-0.0851611,-0.00804367,0.00804367
5.28684,2.51398,0.108284,-0.108284,-0.00871578,0.00871578
5.68962,2.36738,0.132207,-0.132207,-0.00938911,0.00938911

