#: table_doi: 10.17182/hepdata.74447.v1/t162
#: name: Table 162
#: description: kaon delta3 as a function of pT for centrality: 0-5%.

#: data_file: Table162.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-5%
'pT [(GeV/c)]','delta3','stat +','stat -','sys +','sys -'
0.432718,0.000594232,0.000193584,-0.000193584,-6.05443e-05,6.05443e-05
0.602588,0.000523323,0.000111235,-0.000111235,-5.56501e-05,5.56501e-05
0.797838,0.000589254,0.00011156,-0.00011156,-5.07559e-05,5.07559e-05
0.996625,0.00101784,0.000124237,-0.000124237,-4.58617e-05,4.58617e-05
1.19614,0.00137852,0.000142465,-0.000142465,-4.09675e-05,4.09675e-05
1.39539,0.00181982,0.000165602,-0.000165602,-3.60733e-05,3.60733e-05
1.59558,0.00185975,0.000191515,-0.000191515,-3.11791e-05,3.11791e-05
1.79546,0.00174317,0.000227053,-0.000227053,-2.62849e-05,2.62849e-05
1.99508,0.00206537,0.000271635,-0.000271635,-2.13907e-05,2.13907e-05
2.19541,0.00249572,0.000327287,-0.000327287,-1.64965e-05,1.64965e-05
2.39532,0.00198237,0.000396492,-0.000396492,-1.16024e-05,1.16024e-05
2.59488,0.00264787,0.000476969,-0.000476969,-6.70816e-06,6.70816e-06
2.79488,0.00230016,0.000582602,-0.000582602,-1.81397e-06,1.81397e-06
2.9951,0.00261087,0.000696773,-0.000696773,-3.08023e-06,3.08023e-06
3.19652,0.00337541,0.000836556,-0.000836556,-7.97442e-06,7.97442e-06
3.3945,0.00150749,0.00100435,-0.00100435,-1.28686e-05,1.28686e-05
3.59507,0.00153672,0.00122213,-0.00122213,-1.77628e-05,1.77628e-05
3.79651,0.00347819,0.00145827,-0.00145827,-2.2657e-05,2.2657e-05

