#: table_doi: 10.17182/hepdata.74447.v1/t57
#: name: Table 57
#: description: kaon v2 as a function of pT for centrality: 0-5%.

#: data_file: Table57.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-5%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.437412,0.00579118,0.000397492,-0.000397492,-0.00310347,0.00310347
0.606879,0.0132211,0.000195844,-0.000195844,-0.00310841,0.00310841
0.79998,0.0221334,0.000178975,-0.000178975,-0.00311595,0.00311595
0.997312,0.0310143,0.000193526,-0.000193526,-0.00312361,0.00312361
1.19558,0.0392035,0.000224546,-0.000224546,-0.00313143,0.00313143
1.39464,0.0461157,0.000270312,-0.000270312,-0.00313912,0.00313912
1.59457,0.0527446,0.000329187,-0.000329187,-0.00314638,0.00314638
1.79474,0.057103,0.000405018,-0.000405018,-0.0031546,0.0031546
1.99492,0.0612656,0.000497192,-0.000497192,-0.00316196,0.00316196
2.19509,0.0628273,0.000607126,-0.000607126,-0.00317033,0.00317033
2.39522,0.0648772,0.000737207,-0.000737207,-0.00317763,0.00317763
2.59539,0.0670546,0.000889479,-0.000889479,-0.00318529,0.00318529
2.79546,0.0648384,0.00107086,-0.00107086,-0.00319372,0.00319372
2.99573,0.0656026,0.00127778,-0.00127778,-0.00320192,0.00320192
3.19578,0.0653304,0.00151693,-0.00151693,-0.00320927,0.00320927
3.396,0.063419,0.00179773,-0.00179773,-0.00321585,0.00321585
3.59606,0.0581751,0.00211961,-0.00211961,-0.00322474,0.00322474
3.79629,0.0574711,0.00248201,-0.00248201,-0.0032325,0.0032325

