#: table_doi: 10.17182/hepdata.74447.v1/t193
#: name: Table 193
#: description: proton delta4 as a function of pT for centrality: 20-30%.

#: data_file: Table193.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,20-30%
'pT [(GeV/c)]','delta4','stat +','stat -','sys +','sys -'
0.523065,-9.30341e-05,0.000608117,-0.000608117,-6.49824e-05,6.49824e-05
0.702382,0.000789424,0.000411024,-0.000411024,-9.96341e-05,9.96341e-05
0.897963,0.00122616,0.000403679,-0.000403679,-0.000134286,0.000134286
1.09642,0.00199736,0.000446706,-0.000446706,-0.000168938,0.000168938
1.29563,0.00210983,0.000514743,-0.000514743,-0.000203589,0.000203589
1.49606,0.00309627,0.000606284,-0.000606284,-0.000238241,0.000238241
1.69551,0.00286781,0.000713106,-0.000713106,-0.000272893,0.000272893
1.89542,0.00457064,0.000844808,-0.000844808,-0.000307545,0.000307545
2.0953,0.00531306,0.00101135,-0.00101135,-0.000342196,0.000342196
2.29599,0.00451767,0.00120166,-0.00120166,-0.000376848,0.000376848
2.49571,0.00642112,0.00142519,-0.00142519,-0.0004115,0.0004115
2.69551,0.00607533,0.00168763,-0.00168763,-0.000446152,0.000446152
2.89568,0.00788178,0.00198325,-0.00198325,-0.000480804,0.000480804
3.1778,0.00743954,0.00178486,-0.00178486,-0.000532781,0.000532781
3.57913,0.0107965,0.0024675,-0.0024675,-0.000602085,0.000602085
3.9768,0.00601153,0.00334761,-0.00334761,-0.000671388,0.000671388
4.45917,0.00640849,0.00389473,-0.00389473,-0.000758018,0.000758018
5.0647,0.0180077,0.0061279,-0.0061279,-0.000861973,0.000861973
5.6173,0.0134915,0.0101239,-0.0101239,-0.000957265,0.000957265

