#: table_doi: 10.17182/hepdata.74447.v1/t86
#: name: Table 86
#: description: proton v3 as a function of pT for centrality: 5-10%.

#: data_file: Table86.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,5-10%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.527048,-0.000182466,0.00138753,-0.00138753,-0.00368927,0.00368927
0.706733,0.00218499,0.000796018,-0.000796018,-0.00369345,0.00369345
0.902186,0.00387271,0.000670997,-0.000670997,-0.00369573,0.00369573
1.1001,0.0071596,0.000518855,-0.000518855,-0.00369811,0.00369811
1.29877,0.0143884,0.000462173,-0.000462173,-0.0037051,0.0037051
1.49813,0.0248505,0.000504335,-0.000504335,-0.00370983,0.00370983
1.6968,0.0357902,0.000567037,-0.000567037,-0.00371825,0.00371825
1.89625,0.0490241,0.000653925,-0.000653925,-0.00372789,0.00372789
2.09593,0.0601878,0.000765575,-0.000765575,-0.00373871,0.00373871
2.29574,0.0710668,0.000905182,-0.000905182,-0.00375563,0.00375563
2.49549,0.0828739,0.00107934,-0.00107934,-0.00376155,0.00376155
2.69525,0.0928309,0.0012944,-0.0012944,-0.00378586,0.00378586
2.89516,0.10192,0.00156393,-0.00156393,-0.00380617,0.00380617
3.09511,0.109438,0.00189208,-0.00189208,-0.00382429,0.00382429
3.29518,0.121732,0.00228557,-0.00228557,-0.00383859,0.00383859
3.49507,0.117534,0.00277198,-0.00277198,-0.00386811,0.00386811
3.69537,0.128503,0.00334113,-0.00334113,-0.00390065,0.00390065
3.89546,0.125641,0.00400769,-0.00400769,-0.00393181,0.00393181
4.17886,0.123399,0.00367096,-0.00367096,-0.00398723,0.00398723
4.5806,0.117827,0.00504893,-0.00504893,-0.00404531,0.00404531
4.98367,0.108311,0.00675863,-0.00675863,-0.0041137,0.0041137
5.3853,0.0877459,0.0087049,-0.0087049,-0.00424256,0.00424256
5.74345,0.0863452,0.0122201,-0.0122201,-0.00428202,0.00428202

