#: table_doi: 10.17182/hepdata.74447.v1/t197
#: name: Table 197
#: description: pion delta5 as a function of pT for centrality: 0-5%.

#: data_file: Table197.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-5%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.405699,0.000411358,0.000137873,-0.000137873,-9.03682e-05,9.03682e-05
0.593969,0.000416587,0.000146561,-0.000146561,-6.74733e-05,6.74733e-05
0.79382,0.000482185,0.000187121,-0.000187121,-4.45784e-05,4.45784e-05
0.993862,0.000952937,0.000236802,-0.000236802,-2.16836e-05,2.16836e-05
1.19403,0.00148998,0.000298348,-0.000298348,-1.21134e-06,1.21134e-06
1.39407,0.00199861,0.000375192,-0.000375192,-2.41062e-05,2.41062e-05
1.5945,0.00262409,0.000470966,-0.000470966,-4.70011e-05,4.70011e-05
1.79459,0.00319257,0.00058341,-0.00058341,-6.9896e-05,6.9896e-05
1.9946,0.0023099,0.000721366,-0.000721366,-9.27909e-05,9.27909e-05
2.19503,0.00286723,0.000888768,-0.000888768,-0.000115686,0.000115686
2.47634,0.00432554,0.000833967,-0.000833967,-0.000150028,0.000150028
2.87967,0.00585139,0.00118631,-0.00118631,-0.000195818,0.000195818
3.28293,0.00550755,0.00161156,-0.00161156,-0.000241608,0.000241608
3.68327,0.00403288,0.00211456,-0.00211456,-0.000287397,0.000287397
4.30754,0.00718811,0.00200485,-0.00200485,-0.00036753,0.00036753
5.32003,0.00645606,0.0034332,-0.0034332,-0.000482004,0.000482004

