#: table_doi: 10.17182/hepdata.74447.v1/t160
#: name: Table 160
#: description: pion delta3 as a function of pT for centrality: 40-50%.

#: data_file: Table160.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,40-50%
'pT [(GeV/c)]','delta3','stat +','stat -','sys +','sys -'
0.405699,0.0013798,0.000103735,-0.000103735,-0.000168118,0.000168118
0.593969,0.00258719,0.000110295,-0.000110295,-0.000171741,0.000171741
0.79382,0.00392158,0.000140841,-0.000140841,-0.000175365,0.000175365
0.993862,0.00513285,0.000178197,-0.000178197,-0.000178988,0.000178988
1.19403,0.0064023,0.000224462,-0.000224462,-0.000182611,0.000182611
1.39407,0.00732939,0.000282233,-0.000282233,-0.000186234,0.000186234
1.5945,0.00853763,0.000354225,-0.000354225,-0.000189858,0.000189858
1.79459,0.00875182,0.000438781,-0.000438781,-0.000193481,0.000193481
1.9946,0.00924824,0.00054277,-0.00054277,-0.000197104,0.000197104
2.19503,0.00915286,0.000668679,-0.000668679,-0.000200728,0.000200728
2.39502,0.00942232,0.000814255,-0.000814255,-0.000204351,0.000204351
2.59533,0.0101687,0.000984187,-0.000984187,-0.000207974,0.000207974
2.79575,0.0106467,0.00117175,-0.00117175,-0.000211598,0.000211598
2.99589,0.0102344,0.00137697,-0.00137697,-0.000215221,0.000215221
3.19627,0.00902351,0.00160832,-0.00160832,-0.000218844,0.000218844
3.39666,0.0126309,0.00184563,-0.00184563,-0.000222467,0.000222467
3.59657,0.0115114,0.00211615,-0.00211615,-0.000226091,0.000226091
3.79698,0.0106906,0.00241344,-0.00241344,-0.000229714,0.000229714
4.085,0.00808125,0.00206029,-0.00206029,-0.000235149,0.000235149
4.48648,0.00585344,0.00258217,-0.00258217,-0.000242396,0.000242396
4.88692,0.0148353,0.00321778,-0.00321778,-0.000249642,0.000249642
5.28891,0.0114207,0.00396012,-0.00396012,-0.000256889,0.000256889
5.68944,0.00806186,0.0048007,-0.0048007,-0.000264135,0.000264135

