#: table_doi: 10.17182/hepdata.74447.v1/t3
#: name: Table 3
#: description: proton <uQ>2 as a function of pT in pp collision.

#: data_file: Table3.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.523065,0.0447388,0.0032776,-0.0032776,-0.00948926,0.00948926
0.702382,0.0612567,0.0022153,-0.0022153,-0.00910539,0.00910539
0.897963,0.0804075,0.00217569,-0.00217569,-0.00872152,0.00872152
1.09642,0.094492,0.00240753,-0.00240753,-0.00833765,0.00833765
1.29563,0.106085,0.00277423,-0.00277423,-0.00795378,0.00795378
1.49606,0.113944,0.00326754,-0.00326754,-0.00756991,0.00756991
1.69551,0.130915,0.00384333,-0.00384333,-0.00718603,0.00718603
1.89542,0.132765,0.00455297,-0.00455297,-0.00680216,0.00680216
2.0953,0.135529,0.00545061,-0.00545061,-0.00641829,0.00641829
2.29599,0.161836,0.00647646,-0.00647646,-0.00603442,0.00603442
2.49571,0.167955,0.0076811,-0.0076811,-0.00565055,0.00565055
2.69551,0.181157,0.00909566,-0.00909566,-0.00526668,0.00526668
2.89568,0.173896,0.0106889,-0.0106889,-0.0048828,0.0048828
3.09536,0.199669,0.0125973,-0.0125973,-0.00449893,0.00449893
3.29569,0.203827,0.0148994,-0.0148994,-0.00411506,0.00411506
3.49635,0.242275,0.0175013,-0.0175013,-0.00373119,0.00373119
3.6966,0.202708,0.020458,-0.020458,-0.00334732,0.00334732
3.89389,0.233979,0.0237846,-0.0237846,-0.00296345,0.00296345
4.17954,0.261491,0.0209743,-0.0209743,-0.00238764,0.00238764
4.58488,0.262128,0.0277307,-0.0277307,-0.0016199,0.0016199
4.98416,0.281052,0.0381418,-0.0381418,-0.000852154,0.000852154
5.38658,0.320679,0.0499093,-0.0499093,-8.4411e-05,8.4411e-05
5.73584,0.337202,0.0781401,-0.0781401,-0.000587364,0.000587364

