#: table_doi: 10.17182/hepdata.74447.v1/t64
#: name: Table 64
#: description: proton v2 as a function of pT for centrality: 0-5%.

#: data_file: Table64.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-5%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.526713,0.000146746,0.000891766,-0.000891766,-0.00302456,0.00302456
0.706639,0.00134402,0.000539642,-0.000539642,-0.00302327,0.00302327
0.902146,0.00534181,0.000465425,-0.000465425,-0.00301799,0.00301799
1.10003,0.0109912,0.000382748,-0.000382748,-0.00301283,0.00301283
1.29875,0.0181885,0.000349114,-0.000349114,-0.00300586,0.00300586
1.49822,0.0266647,0.000380481,-0.000380481,-0.00300206,0.00300206
1.69685,0.0364445,0.000426448,-0.000426448,-0.00299291,0.00299291
1.89629,0.0440717,0.00049032,-0.00049032,-0.0029897,0.0029897
2.09595,0.0520257,0.00057329,-0.00057329,-0.00298152,0.00298152
2.29575,0.0596151,0.000677657,-0.000677657,-0.00297265,0.00297265
2.4955,0.0636594,0.000808231,-0.000808231,-0.00296944,0.00296944
2.69522,0.0694048,0.000972467,-0.000972467,-0.0029599,0.0029599
2.89508,0.0732842,0.00117466,-0.00117466,-0.00295559,0.00295559
3.09503,0.0759871,0.00142931,-0.00142931,-0.00295239,0.00295239
3.295,0.0761197,0.00173932,-0.00173932,-0.00294775,0.00294775
3.49507,0.0738308,0.00211245,-0.00211245,-0.00294225,0.00294225
3.69513,0.0754642,0.00256218,-0.00256218,-0.00294139,0.00294139
3.89542,0.0739605,0.00310007,-0.00310007,-0.00293818,0.00293818
4.17808,0.0731272,0.00282567,-0.00282567,-0.00292081,0.00292081
4.58017,0.068024,0.00395394,-0.00395394,-0.00291881,0.00291881
4.98287,0.0564894,0.00535299,-0.00535299,-0.00291334,0.00291334
5.38497,0.0568883,0.006893,-0.006893,-0.00290189,0.00290189
5.74363,0.0374717,0.00975881,-0.00975881,-0.00290747,0.00290747

