#: table_doi: 10.17182/hepdata.74447.v1/t204
#: name: Table 204
#: description: kaon delta5 as a function of pT for centrality: 0-5%.

#: data_file: Table204.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-5%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.432718,0.000364352,0.00094904,-0.00094904,-3.86755e-05,3.86755e-05
0.602588,0.000420613,0.000545344,-0.000545344,-2.99567e-05,2.99567e-05
0.797838,0.00107027,0.000546967,-0.000546967,-2.1238e-05,2.1238e-05
0.996625,0.000555949,0.000609072,-0.000609072,-1.25192e-05,1.25192e-05
1.19614,0.00111978,0.000698477,-0.000698477,-3.8005e-06,3.8005e-06
1.39539,0.00178843,0.000811936,-0.000811936,-4.91824e-06,4.91824e-06
1.59558,0.00160892,0.000938946,-0.000938946,-1.3637e-05,1.3637e-05
1.79546,0.00188172,0.00111318,-0.00111318,-2.23557e-05,2.23557e-05
1.99508,0.00196275,0.00133174,-0.00133174,-3.10745e-05,3.10745e-05
2.19541,0.00168381,0.00160453,-0.00160453,-3.97932e-05,3.97932e-05
2.47646,0.00432071,0.00149496,-0.00149496,-5.28713e-05,5.28713e-05
2.87672,0.00523285,0.00219129,-0.00219129,-7.03088e-05,7.03088e-05
3.27797,0.00664315,0.00315138,-0.00315138,-8.77463e-05,8.77463e-05
3.67711,0.00568318,0.00459214,-0.00459214,-0.000105184,0.000105184

