#: table_doi: 10.17182/hepdata.74447.v1/t53
#: name: Table 53
#: description: pion v2 as a function of pT for centrality: 20-30%.

#: data_file: Table53.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,20-30%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.413018,0.0530171,9.29966e-05,-9.29966e-05,-0.00131695,0.00131695
0.594179,0.076708,8.99174e-05,-8.99174e-05,-0.00141408,0.00141408
0.792546,0.101051,0.000118563,-0.000118563,-0.00157991,0.00157991
0.992793,0.122649,0.000160338,-0.000160338,-0.00179567,0.00179567
1.19337,0.141462,0.00021268,-0.00021268,-0.00204559,0.00204559
1.39345,0.156984,0.000277284,-0.000277284,-0.0023186,0.0023186
1.59396,0.170907,0.000353886,-0.000353886,-0.00260758,0.00260758
1.79438,0.181134,0.000448155,-0.000448155,-0.00290771,0.00290771
1.99485,0.189765,0.000561229,-0.000561229,-0.00321546,0.00321546
2.19484,0.195408,0.000694505,-0.000694505,-0.00352954,0.00352954
2.39517,0.200125,0.00084885,-0.00084885,-0.00384766,0.00384766
2.59549,0.203439,0.00102924,-0.00102924,-0.00416978,0.00416978
2.7955,0.199901,0.00123189,-0.00123189,-0.00449428,0.00449428
2.99604,0.198008,0.00145767,-0.00145767,-0.0048209,0.0048209
3.19627,0.192995,0.00170941,-0.00170941,-0.0051493,0.0051493
3.39616,0.190509,0.00200081,-0.00200081,-0.00547939,0.00547939
3.5964,0.183675,0.00232787,-0.00232787,-0.00580998,0.00580998
3.79616,0.181758,0.00270326,-0.00270326,-0.00614191,0.00614191
4.0814,0.172003,0.00237517,-0.00237517,-0.00664202,0.00664202
4.48303,0.160119,0.00316738,-0.00316738,-0.00731029,0.00731029
4.88402,0.135859,0.0041555,-0.0041555,-0.00798054,0.00798054
5.28602,0.127746,0.00524942,-0.00524942,-0.00865288,0.00865288
5.68643,0.126407,0.00654784,-0.00654784,-0.0093251,0.0093251

