#: table_doi: 10.17182/hepdata.74447.v1/t84
#: name: Table 84
#: description: proton v3 as a function of pT for centrality: 0-1%.

#: data_file: Table84.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.526573,0.000334646,0.00289568,-0.00289568,-0.00260944,0.00260944
0.706597,0.0010254,0.00166367,-0.00166367,-0.00260288,0.00260288
0.902073,-0.000280233,0.00139979,-0.00139979,-0.00259977,0.00259977
1.09998,0.00396199,0.00106485,-0.00106485,-0.00259994,0.00259994
1.29875,0.00962357,0.000936445,-0.000936445,-0.00260327,0.00260327
1.49825,0.0178331,0.00101213,-0.00101213,-0.00261007,0.00261007
1.69688,0.0259109,0.00112672,-0.00112672,-0.00262036,0.00262036
1.89632,0.0373733,0.0012886,-0.0012886,-0.00263354,0.00263354
2.09604,0.0468467,0.00149936,-0.00149936,-0.00264968,0.00264968
2.29574,0.0579185,0.00177066,-0.00177066,-0.00266927,0.00266927
2.49548,0.0660861,0.00210989,-0.00210989,-0.0026915,0.0026915
2.69517,0.0688485,0.00254435,-0.00254435,-0.00271678,0.00271678
2.89505,0.0791951,0.00308353,-0.00308353,-0.00274564,0.00274564
3.09507,0.0870685,0.0037637,-0.0037637,-0.00277582,0.00277582
3.29499,0.0907305,0.00458012,-0.00458012,-0.00280928,0.00280928
3.49496,0.0913897,0.00561112,-0.00561112,-0.00284775,0.00284775
3.69491,0.105423,0.00684897,-0.00684897,-0.00288508,0.00288508
3.89526,0.0930432,0.00826412,-0.00826412,-0.00292742,0.00292742
4.17813,0.100832,0.00758024,-0.00758024,-0.00299187,0.00299187
4.57916,0.102365,0.0107021,-0.0107021,-0.00308703,0.00308703
4.98334,0.0850016,0.0146688,-0.0146688,-0.00319051,0.00319051
5.38439,0.0842791,0.0187435,-0.0187435,-0.00330173,0.00330173
5.74321,0.0556737,0.0270694,-0.0270694,-0.00340963,0.00340963

