#: table_doi: 10.17182/hepdata.74447.v1/t25
#: name: Table 25
#: description: kaon <uQ>3 as a function of pT for centrality: 0-1%.

#: data_file: Table25.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.437333,0.0305228,0.0186515,-0.0186515,-0.00138154,0.00138154
0.606815,0.100325,0.00897764,-0.00897764,-0.00129727,0.00129727
0.799984,0.218186,0.00805551,-0.00805551,-0.00129036,0.00129036
0.997249,0.377763,0.00866575,-0.00866575,-0.00136173,0.00136173
1.19561,0.517441,0.0101132,-0.0101132,-0.00150039,0.00150039
1.39463,0.684536,0.012277,-0.012277,-0.00168986,0.00168986
1.59457,0.82704,0.015105,-0.015105,-0.0019154,0.0019154
1.7947,0.965235,0.0187267,-0.0187267,-0.00216547,0.00216547
1.99495,1.08611,0.0230789,-0.0230789,-0.00243278,0.00243278
2.19502,1.20139,0.0282391,-0.0282391,-0.0027118,0.0027118
2.39521,1.30926,0.0342586,-0.0342586,-0.00299957,0.00299957
2.59547,1.3302,0.0413141,-0.0413141,-0.00329399,0.00329399
2.79552,1.38512,0.0499272,-0.0499272,-0.00359301,0.00359301
2.99576,1.40852,0.0596245,-0.0596245,-0.00389586,0.00389586
3.19576,1.3765,0.0708612,-0.0708612,-0.00420204,0.00420204
3.39581,1.43866,0.0838148,-0.0838148,-0.00450952,0.00450952
3.59593,1.31973,0.0988863,-0.0988863,-0.00482007,0.00482007
3.79601,1.55767,0.115165,-0.115165,-0.00513039,0.00513039

