#: table_doi: 10.17182/hepdata.74447.v1/t117
#: name: Table 117
#: description: pion v5 as a function of pT for centrality: 30-40%.

#: data_file: Table117.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,30-40%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.412772,-0.000726105,0.000846259,-0.000846259,-0.00967226,0.00967226
0.594166,-0.00233126,0.000835405,-0.000835405,-0.00970038,0.00970038
0.792644,0.0068488,0.00107641,-0.00107641,-0.00977465,0.00977465
0.99301,0.0104391,0.00143525,-0.00143525,-0.00989034,0.00989034
1.19358,0.0185083,0.00187638,-0.00187638,-0.0100498,0.0100498
1.39371,0.0237414,0.00241416,-0.00241416,-0.0102477,0.0102477
1.59415,0.0224917,0.00304247,-0.00304247,-0.0104819,0.0104819
1.79455,0.0338771,0.00381472,-0.00381472,-0.0107575,0.0107575
1.99494,0.0396801,0.0047363,-0.0047363,-0.0110633,0.0110633
2.19502,0.0367067,0.00580641,-0.00580641,-0.0113921,0.0113921
2.47708,0.0477707,0.00543029,-0.00543029,-0.0119538,0.0119538
2.87992,0.038936,0.0077039,-0.0077039,-0.0127713,0.0127713
3.28102,0.0466144,0.0105379,-0.0105379,-0.0136702,0.0136702
3.68119,0.0611146,0.014232,-0.014232,-0.0146221,0.0146221
4.28825,0.0534034,0.014413,-0.014413,-0.0164349,0.0164349
5.31308,0.0674895,0.0266594,-0.0266594,-0.0191855,0.0191855

