#: table_doi: 10.17182/hepdata.74447.v1/t81
#: name: Table 81
#: description: kaon v3 as a function of pT for centrality: 20-30%.

#: data_file: Table81.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.437558,0.00369341,0.00110486,-0.00110486,-0.00310503,0.00310503
0.606926,0.0109263,0.000545134,-0.000545134,-0.00306022,0.00306022
0.799831,0.0216568,0.000495842,-0.000495842,-0.00305469,0.00305469
0.997183,0.0336091,0.000534568,-0.000534568,-0.00308387,0.00308387
1.19571,0.0464036,0.00061788,-0.00061788,-0.00314799,0.00314799
1.39484,0.0568704,0.000741603,-0.000741603,-0.00324346,0.00324346
1.59479,0.0676926,0.000902398,-0.000902398,-0.003364,0.003364
1.79498,0.0760837,0.00110617,-0.00110617,-0.00351261,0.00351261
1.9952,0.084266,0.00134718,-0.00134718,-0.00368451,0.00368451
2.19544,0.0905217,0.00162442,-0.00162442,-0.00387493,0.00387493
2.39571,0.094738,0.00193953,-0.00193953,-0.00407956,0.00407956
2.59586,0.0995685,0.00229724,-0.00229724,-0.00430471,0.00430471
2.7961,0.0985816,0.00270708,-0.00270708,-0.00453559,0.00453559
2.99603,0.104007,0.00316487,-0.00316487,-0.00477608,0.00477608
3.19643,0.0967349,0.00370663,-0.00370663,-0.00503412,0.00503412
3.39655,0.0966264,0.00431094,-0.00431094,-0.00529417,0.00529417
3.59658,0.101498,0.00500054,-0.00500054,-0.00556132,0.00556132
3.79629,0.0944468,0.00584565,-0.00584565,-0.00582991,0.00582991

