#: table_doi: 10.17182/hepdata.74447.v1/t159
#: name: Table 159
#: description: pion delta3 as a function of pT for centrality: 30-40%.

#: data_file: Table159.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,30-40%
'pT [(GeV/c)]','delta3','stat +','stat -','sys +','sys -'
0.405699,0.00087369,6.56804e-05,-6.56804e-05,-0.000106451,0.000106451
0.593969,0.0016382,6.9827e-05,-6.9827e-05,-0.000108746,0.000108746
0.79382,0.00248313,8.91594e-05,-8.91594e-05,-0.00011104,0.00011104
0.993862,0.00325009,0.000112805,-0.000112805,-0.000113334,0.000113334
1.19403,0.0040539,0.000142094,-0.000142094,-0.000115628,0.000115628
1.39407,0.00464092,0.000178673,-0.000178673,-0.000117923,0.000117923
1.5945,0.00540597,0.000224255,-0.000224255,-0.000120217,0.000120217
1.79459,0.0055416,0.000277801,-0.000277801,-0.000122511,0.000122511
1.9946,0.00585593,0.000343649,-0.000343649,-0.000124805,0.000124805
2.19503,0.00579554,0.000423379,-0.000423379,-0.0001271,0.0001271
2.39502,0.00596616,0.000515561,-0.000515561,-0.000129394,0.000129394
2.59533,0.00643874,0.000623162,-0.000623162,-0.000131688,0.000131688
2.79575,0.00674142,0.000741927,-0.000741927,-0.000133982,0.000133982
2.99589,0.00648038,0.000871876,-0.000871876,-0.000136277,0.000136277
3.19627,0.00571364,0.00101837,-0.00101837,-0.000138571,0.000138571
3.39666,0.00799778,0.00116862,-0.00116862,-0.000140865,0.000140865
3.59657,0.00728894,0.00133992,-0.00133992,-0.000143159,0.000143159
3.79698,0.00676922,0.00152816,-0.00152816,-0.000145454,0.000145454
4.085,0.00511701,0.00130456,-0.00130456,-0.000148895,0.000148895
4.48648,0.00370637,0.00163501,-0.00163501,-0.000153483,0.000153483
4.88692,0.00939364,0.00203747,-0.00203747,-0.000158072,0.000158072
5.28891,0.00723151,0.00250752,-0.00250752,-0.00016266,0.00016266
5.68944,0.00510472,0.00303977,-0.00303977,-0.000167249,0.000167249

