#: table_doi: 10.17182/hepdata.74447.v1/t60
#: name: Table 60
#: description: kaon v2 as a function of pT for centrality: 20-30%.

#: data_file: Table60.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.437558,0.0233599,0.000622467,-0.000622467,-0.00293668,0.00293668
0.606926,0.0442899,0.000303837,-0.000303837,-0.00294414,0.00294414
0.799831,0.0706665,0.000273909,-0.000273909,-0.00295093,0.00295093
0.997183,0.096484,0.000294046,-0.000294046,-0.0029589,0.0029589
1.19571,0.119902,0.000339804,-0.000339804,-0.00296654,0.00296654
1.39484,0.139542,0.000409034,-0.000409034,-0.00297389,0.00297389
1.59479,0.156132,0.000499572,-0.000499572,-0.002982,0.002982
1.79498,0.169252,0.000614002,-0.000614002,-0.00298986,0.00298986
1.9952,0.181523,0.000748884,-0.000748884,-0.00299775,0.00299775
2.19544,0.189689,0.000903114,-0.000903114,-0.00300581,0.00300581
2.39571,0.197658,0.00107835,-0.00107835,-0.00301384,0.00301384
2.59586,0.199132,0.00127796,-0.00127796,-0.00302167,0.00302167
2.7961,0.200394,0.00150212,-0.00150212,-0.00302943,0.00302943
2.99603,0.200567,0.00175675,-0.00175675,-0.00303975,0.00303975
3.19643,0.201465,0.00204025,-0.00204025,-0.00304609,0.00304609
3.39655,0.195847,0.00236716,-0.00236716,-0.00305697,0.00305697
3.59658,0.188919,0.00274792,-0.00274792,-0.00306327,0.00306327
3.79629,0.177342,0.00319743,-0.00319743,-0.00307217,0.00307217

