#: table_doi: 10.17182/hepdata.74447.v1/t71
#: name: Table 71
#: description: pion v3 as a function of pT for centrality: 0-5%.

#: data_file: Table71.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-5%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.413256,0.0075302,7.37885e-05,-7.37885e-05,-0.0041565,0.0041565
0.594141,0.0157716,7.21527e-05,-7.21527e-05,-0.00414215,0.00414215
0.79239,0.0245532,9.49551e-05,-9.49551e-05,-0.0041372,0.0041372
0.992183,0.0330611,0.000128491,-0.000128491,-0.00413684,0.00413684
1.19288,0.0412003,0.000172359,-0.000172359,-0.00414115,0.00414115
1.39298,0.0493381,0.000227522,-0.000227522,-0.0041471,0.0041471
1.59342,0.0561629,0.000295326,-0.000295326,-0.00415723,0.00415723
1.79389,0.0635677,0.000379727,-0.000379727,-0.00416959,0.00416959
1.99437,0.0689132,0.000482382,-0.000482382,-0.00418521,0.00418521
2.19441,0.075762,0.00060548,-0.00060548,-0.00420417,0.00420417
2.39471,0.0796626,0.000753491,-0.000753491,-0.004223,0.004223
2.59498,0.0806208,0.000926705,-0.000926705,-0.00425101,0.00425101
2.79531,0.0850172,0.0011249,-0.0011249,-0.00427803,0.00427803
2.99557,0.0865745,0.0013479,-0.0013479,-0.00430604,0.00430604
3.19569,0.0824902,0.00160961,-0.00160961,-0.00434664,0.00434664
3.39581,0.0835883,0.00190279,-0.00190279,-0.00437498,0.00437498
3.59599,0.0792293,0.00223994,-0.00223994,-0.00442887,0.00442887
3.79605,0.0714189,0.00261255,-0.00261255,-0.00446926,0.00446926
4.08201,0.0763754,0.00229851,-0.00229851,-0.00452938,0.00452938
4.48247,0.0696077,0.00305916,-0.00305916,-0.00463556,0.00463556
4.88368,0.0589541,0.00399602,-0.00399602,-0.00474858,0.00474858
5.2846,0.064727,0.00515152,-0.00515152,-0.0048286,0.0048286
5.6864,0.0536242,0.00645977,-0.00645977,-0.00498961,0.00498961

