#: table_doi: 10.17182/hepdata.74447.v1/t69
#: name: Table 69
#: description: proton v2 as a function of pT for centrality: 40-50%.

#: data_file: Table69.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,40-50%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.528121,0.0213747,0.00236678,-0.00236678,-0.00479787,0.00479787
0.706205,0.0343849,0.00136951,-0.00136951,-0.00478853,0.00478853
0.901241,0.0550039,0.00120325,-0.00120325,-0.00479012,0.00479012
1.09904,0.0848471,0.00101609,-0.00101609,-0.00478501,0.00478501
1.29786,0.114401,0.000945252,-0.000945252,-0.00477808,0.00477808
1.49686,0.146299,0.00105656,-0.00105656,-0.00477495,0.00477495
1.69605,0.175496,0.00122251,-0.00122251,-0.00476093,0.00476093
1.89575,0.198054,0.00143876,-0.00143876,-0.00475903,0.00475903
2.09555,0.2227,0.00171268,-0.00171268,-0.00474463,0.00474463
2.29553,0.239165,0.0020382,-0.0020382,-0.0047417,0.0047417
2.49551,0.256939,0.00245015,-0.00245015,-0.00473258,0.00473258
2.69547,0.270144,0.00292746,-0.00292746,-0.00472265,0.00472265
2.89568,0.278327,0.00353883,-0.00353883,-0.00471531,0.00471531
3.09528,0.272856,0.00423744,-0.00423744,-0.00472156,0.00472156
3.29557,0.288655,0.00502723,-0.00502723,-0.00470578,0.00470578
3.49587,0.279501,0.00597154,-0.00597154,-0.0047302,0.0047302
3.69577,0.274893,0.00701393,-0.00701393,-0.00471592,0.00471592
3.89585,0.263201,0.00816529,-0.00816529,-0.00470299,0.00470299
4.1828,0.255733,0.00712163,-0.00712163,-0.00469359,0.00469359
4.58544,0.227734,0.00928126,-0.00928126,-0.00467954,0.00467954
4.9848,0.232393,0.0118363,-0.0118363,-0.00467141,0.00467141
5.38648,0.177587,0.0145151,-0.0145151,-0.00469339,0.00469339
5.74307,0.169123,0.0202064,-0.0202064,-0.00469877,0.00469877

