#: table_doi: 10.17182/hepdata.74447.v1/t34
#: name: Table 34
#: description: kaon <uQ>4 as a function of pT for centrality: 0-1%.

#: data_file: Table34.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.437333,-0.0731201,0.0163652,-0.0163652,-0.0089019,0.0089019
0.606815,-0.0142068,0.00787927,-0.00787927,-0.00887937,0.00887937
0.799984,0.0482487,0.00706887,-0.00706887,-0.00886839,0.00886839
0.997249,0.0913743,0.00761529,-0.00761529,-0.00891055,0.00891055
1.19561,0.160076,0.00891375,-0.00891375,-0.00894945,0.00894945
1.39463,0.220063,0.0108413,-0.0108413,-0.00900802,0.00900802
1.59457,0.286632,0.0133545,-0.0133545,-0.00907167,0.00907167
1.7947,0.309803,0.0165135,-0.0165135,-0.00917632,0.00917632
1.99495,0.37859,0.0203172,-0.0203172,-0.00926248,0.00926248
2.19502,0.44444,0.0248904,-0.0248904,-0.00938672,0.00938672
2.39521,0.479874,0.0302077,-0.0302077,-0.00947652,0.00947652
2.59547,0.557649,0.0364426,-0.0364426,-0.00960285,0.00960285
2.79552,0.595866,0.0437666,-0.0437666,-0.00972273,0.00972273
3.0786,0.585839,0.040065,-0.040065,-0.00997068,0.00997068
3.47965,0.597038,0.0561516,-0.0561516,-0.0102799,0.0102799
3.88168,0.595778,0.0764706,-0.0764706,-0.0106781,0.0106781

