#: table_doi: 10.17182/hepdata.74447.v1/t7
#: name: Table 7
#: description: pion <uQ>4 as a function of pT in pp collision.

#: data_file: Table7.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.405699,0.00236269,0.000505028,-0.000505028,-0.000371265,0.000371265
0.593969,0.00352828,0.00053687,-0.00053687,-0.000517374,0.000517374
0.79382,0.00692686,0.000685475,-0.000685475,-0.000663483,0.000663483
0.993862,0.00929521,0.00086726,-0.00086726,-0.000809592,0.000809592
1.19403,0.0133316,0.00109244,-0.00109244,-0.000955702,0.000955702
1.39407,0.0180336,0.0013737,-0.0013737,-0.00110181,0.00110181
1.5945,0.0224568,0.00172419,-0.00172419,-0.00124792,0.00124792
1.79459,0.0254174,0.00213596,-0.00213596,-0.00139403,0.00139403
1.9946,0.029148,0.00264232,-0.00264232,-0.00154014,0.00154014
2.19503,0.0348944,0.00325544,-0.00325544,-0.00168625,0.00168625
2.39502,0.0402953,0.00396429,-0.00396429,-0.00183236,0.00183236
2.59533,0.0459215,0.00479169,-0.00479169,-0.00197847,0.00197847
2.79575,0.037843,0.00570494,-0.00570494,-0.00212457,0.00212457
3.08049,0.0523054,0.00509272,-0.00509272,-0.00234374,0.00234374
3.48249,0.0641032,0.00677222,-0.00677222,-0.00263596,0.00263596
3.88395,0.0555894,0.00882505,-0.00882505,-0.00292818,0.00292818
4.36832,0.0545273,0.00968271,-0.00968271,-0.00329345,0.00329345
4.96811,0.0925642,0.013434,-0.013434,-0.00373178,0.00373178
5.5712,0.0861506,0.0180981,-0.0180981,-0.0041701,0.0041701

