#: table_doi: 10.17182/hepdata.74447.v1/t19
#: name: Table 19
#: description: proton <uQ>2 as a function of pT for centrality: 0-1%.

#: data_file: Table19.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.526573,0.119269,0.0361843,-0.0361843,-0.00350986,0.00350986
0.706597,0.0601498,0.0214716,-0.0214716,-0.00350757,0.00350757
0.902073,0.135169,0.0182784,-0.0182784,-0.00350032,0.00350032
1.09998,0.226821,0.0175998,-0.0175998,-0.0034979,0.0034979
1.29875,0.363947,0.0180765,-0.0180765,-0.00348822,0.00348822
1.49825,0.524452,0.0194907,-0.0194907,-0.00348436,0.00348436
1.69688,0.69067,0.0216869,-0.0216869,-0.00347786,0.00347786
1.89632,0.854754,0.0247524,-0.0247524,-0.00347129,0.00347129
2.09604,0.896321,0.028763,-0.028763,-0.00346776,0.00346776
2.29574,1.08977,0.034018,-0.034018,-0.00345674,0.00345674
2.49548,1.13692,0.0404991,-0.0404991,-0.00346003,0.00346003
2.69517,1.25503,0.0488572,-0.0488572,-0.00344832,0.00344832
2.89505,1.22515,0.0592483,-0.0592483,-0.00345305,0.00345305
3.09507,1.33307,0.0724962,-0.0724962,-0.00344101,0.00344101
3.29499,1.48138,0.0882571,-0.0882571,-0.00342881,0.00342881
3.49496,1.18443,0.107565,-0.107565,-0.0034353,0.0034353
3.69491,1.13425,0.131997,-0.131997,-0.00343879,0.00343879
3.89526,1.06005,0.161752,-0.161752,-0.00342829,0.00342829
4.17813,1.00499,0.147925,-0.147925,-0.00342765,0.00342765
4.57916,1.22988,0.210292,-0.210292,-0.00343458,0.00343458
4.98334,1.30396,0.284239,-0.284239,-0.00339546,0.00339546
5.38439,0.790249,0.369622,-0.369622,-0.0034352,0.0034352
5.74321,0.122276,0.532499,-0.532499,-0.00341546,0.00341546

