#: table_doi: 10.17182/hepdata.74447.v1/t11
#: name: Table 11
#: description: kaon <uQ>5 as a function of pT in pp collision.

#: data_file: Table11.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.432718,0.0013346,0.00347617,-0.00347617,-0.000283329,0.000283329
0.602588,0.00154085,0.00199744,-0.00199744,-0.000219457,0.000219457
0.797838,0.00392051,0.00200327,-0.00200327,-0.000155585,0.000155585
0.996625,0.00203645,0.00223091,-0.00223091,-9.17134e-05,9.17134e-05
1.19614,0.00410191,0.00255824,-0.00255824,-2.78417e-05,2.78417e-05
1.39539,0.00655092,0.00297368,-0.00297368,-3.603e-05,3.603e-05
1.59558,0.00589332,0.00343902,-0.00343902,-9.99018e-05,9.99018e-05
1.79546,0.00689256,0.00407717,-0.00407717,-0.000163773,0.000163773
1.99508,0.00718959,0.00487773,-0.00487773,-0.000227645,0.000227645
2.19541,0.00616781,0.00587706,-0.00587706,-0.000291517,0.000291517
2.47646,0.0158287,0.00547511,-0.00547511,-0.000387325,0.000387325
2.87672,0.0191679,0.00802584,-0.00802584,-0.000515068,0.000515068
3.27797,0.0243342,0.0115425,-0.0115425,-0.000642811,0.000642811
3.67711,0.0208182,0.0168199,-0.0168199,-0.000770555,0.000770555

