#: table_doi: 10.17182/hepdata.74447.v1/t151
#: name: Table 151
#: description: proton delta2 as a function of pT for centrality: 20-30%.

#: data_file: Table151.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,20-30%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.523065,0.00145985,0.00010695,-0.00010695,-8.28902e-05,8.28902e-05
0.702382,0.00199884,7.22867e-05,-7.22867e-05,-0.000161083,0.000161083
0.897963,0.00262374,7.09944e-05,-7.09944e-05,-0.00015482,0.00015482
1.09642,0.00308333,7.85596e-05,-7.85596e-05,-0.000148557,0.000148557
1.29563,0.00346162,9.05254e-05,-9.05254e-05,-0.000142294,0.000142294
1.49606,0.00371806,0.000106622,-0.000106622,-0.000136031,0.000136031
1.69551,0.00427183,0.000125411,-0.000125411,-0.000129768,0.000129768
1.89542,0.00433219,0.000148567,-0.000148567,-0.000123505,0.000123505
2.0953,0.00442238,0.000177857,-0.000177857,-0.000117242,0.000117242
2.29599,0.0052808,0.000211331,-0.000211331,-0.000110979,0.000110979
2.49571,0.00548047,0.000250639,-0.000250639,-0.000104716,0.000104716
2.69551,0.00591125,0.000296797,-0.000296797,-9.84533e-05,9.84533e-05
2.89568,0.00567434,0.000348784,-0.000348784,-9.21904e-05,9.21904e-05
3.09536,0.00651531,0.000411057,-0.000411057,-8.59274e-05,8.59274e-05
3.29569,0.00665099,0.000486178,-0.000486178,-7.96644e-05,7.96644e-05
3.49635,0.00790558,0.000571079,-0.000571079,-7.34014e-05,7.34014e-05
3.6966,0.00661448,0.000667556,-0.000667556,-6.71384e-05,6.71384e-05
3.89389,0.00763487,0.000776107,-0.000776107,-6.08755e-05,6.08755e-05
4.17954,0.0085326,0.000684404,-0.000684404,-5.1481e-05,5.1481e-05
4.58488,0.00855338,0.000904869,-0.000904869,-3.8955e-05,3.8955e-05
4.98416,0.00917088,0.00124459,-0.00124459,-2.64291e-05,2.64291e-05
5.38658,0.0104639,0.00162857,-0.00162857,-1.39031e-05,1.39031e-05
5.73584,0.0110031,0.00254976,-0.00254976,-2.94293e-06,2.94293e-06

