#: table_doi: 10.17182/hepdata.74447.v1/t99
#: name: Table 99
#: description: kaon v4 as a function of pT for centrality: 0-5%.

#: data_file: Table99.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-5%
'pT [(GeV/c)]','v4','stat +','stat -','sys +','sys -'
0.437412,-0.00727683,0.000925086,-0.000925086,-0.0087069,0.0087069
0.606879,-0.00153542,0.000462811,-0.000462811,-0.00869076,0.00869076
0.79998,0.00499438,0.000427237,-0.000427237,-0.00869728,0.00869728
0.997312,0.0120498,0.000463849,-0.000463849,-0.00872945,0.00872945
1.19558,0.0182304,0.000537459,-0.000537459,-0.00877828,0.00877828
1.39464,0.0258016,0.000644144,-0.000644144,-0.00883908,0.00883908
1.59457,0.0317948,0.000779562,-0.000779562,-0.00891631,0.00891631
1.79474,0.0386037,0.000955301,-0.000955301,-0.00900648,0.00900648
1.99492,0.0431833,0.00116921,-0.00116921,-0.00910459,0.00910459
2.19509,0.0499657,0.0014255,-0.0014255,-0.00921621,0.00921621
2.39522,0.0561409,0.00172956,-0.00172956,-0.00933645,0.00933645
2.59539,0.0619425,0.00208374,-0.00208374,-0.00945978,0.00945978
2.79546,0.0637725,0.00251265,-0.00251265,-0.00958981,0.00958981
3.07889,0.0702899,0.00229439,-0.00229439,-0.00982065,0.00982065
3.48027,0.0666051,0.00323112,-0.00323112,-0.0101495,0.0101495
3.88195,0.0688233,0.00447608,-0.00447608,-0.0105105,0.0105105

