#: table_doi: 10.17182/hepdata.74447.v1/t115
#: name: Table 115
#: description: pion v5 as a function of pT for centrality: 10-20%.

#: data_file: Table115.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,10-20%
'pT [(GeV/c)]','v5','stat +','stat -','sys +','sys -'
0.413183,-0.00367354,0.00048487,-0.00048487,-0.00348963,0.00348963
0.594171,-0.0044021,0.000471252,-0.000471252,-0.00358196,0.00358196
0.792497,0.00271734,0.000602411,-0.000602411,-0.00375994,0.00375994
0.992593,0.00921649,0.000806228,-0.000806228,-0.00404361,0.00404361
1.19318,0.0140593,0.00107083,-0.00107083,-0.00441434,0.00441434
1.39325,0.0196983,0.00140235,-0.00140235,-0.00484417,0.00484417
1.59367,0.0270857,0.00180458,-0.00180458,-0.00532105,0.00532105
1.79413,0.0274863,0.00229628,-0.00229628,-0.00583912,0.00583912
1.99465,0.0331479,0.00289029,-0.00289029,-0.00637877,0.00637877
2.19465,0.0402363,0.00359542,-0.00359542,-0.00693912,0.00693912
2.47578,0.0419953,0.00341871,-0.00341871,-0.00780804,0.00780804
2.87838,0.0397564,0.00495275,-0.00495275,-0.00901194,0.00901194
3.28037,0.053438,0.00692001,-0.00692001,-0.0102328,0.0102328
3.68084,0.0451577,0.00941637,-0.00941637,-0.011483,0.011483
4.28552,0.0244664,0.00949471,-0.00949471,-0.0136992,0.0136992
5.30769,0.0160997,0.0182058,-0.0182058,-0.0168882,0.0168882

