#: table_doi: 10.17182/hepdata.74447.v1/t17
#: name: Table 17
#: description: kaon <uQ>2 as a function of pT for centrality: 20-30%.

#: data_file: Table17.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.437558,0.754547,0.0187531,-0.0187531,-0.00293668,0.00293668
0.606926,1.4078,0.00909531,-0.00909531,-0.00294414,0.00294414
0.799831,2.23626,0.00815655,-0.00815655,-0.00295093,0.00295093
0.997183,3.04178,0.00873958,-0.00873958,-0.0029589,0.0029589
1.19571,3.7702,0.0101061,-0.0101061,-0.00296654,0.00296654
1.39484,4.3901,0.0121904,-0.0121904,-0.00297389,0.00297389
1.59479,4.89901,0.0149318,-0.0149318,-0.002982,0.002982
1.79498,5.31355,0.0183824,-0.0183824,-0.00298986,0.00298986
1.9952,5.70419,0.0224382,-0.0224382,-0.00299775,0.00299775
2.19544,5.96199,0.0270569,-0.0270569,-0.00300581,0.00300581
2.39571,6.21885,0.0322815,-0.0322815,-0.00301384,0.00301384
2.59586,6.28326,0.0382252,-0.0382252,-0.00302167,0.00302167
2.7961,6.33725,0.0448373,-0.0448373,-0.00302943,0.00302943
2.99603,6.33223,0.05237,-0.05237,-0.00303975,0.00303975
3.19643,6.36618,0.0607006,-0.0607006,-0.00304609,0.00304609
3.39655,6.1916,0.0702699,-0.0702699,-0.00305697,0.00305697
3.59658,6.03087,0.0813039,-0.0813039,-0.00306327,0.00306327
3.79629,5.69784,0.0944291,-0.0944291,-0.00307217,0.00307217

