#: table_doi: 10.17182/hepdata.74447.v1/t28
#: name: Table 28
#: description: proton <uQ>3 as a function of pT for centrality: 0-1%.

#: data_file: Table28.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.526573,0.0184343,0.0330852,-0.0330852,-0.00260944,0.00260944
0.706597,0.0257159,0.0196074,-0.0196074,-0.00260288,0.00260288
0.902073,0.0373739,0.0167183,-0.0167183,-0.00259977,0.00259977
1.09998,0.100557,0.0160826,-0.0160826,-0.00259994,0.00259994
1.29875,0.201076,0.0165123,-0.0165123,-0.00260327,0.00260327
1.49825,0.351828,0.0178042,-0.0178042,-0.00261007,0.00261007
1.69688,0.502015,0.0197868,-0.0197868,-0.00262036,0.00262036
1.89632,0.707216,0.0226064,-0.0226064,-0.00263354,0.00263354
2.09604,0.879698,0.0262766,-0.0262766,-0.00264968,0.00264968
2.29574,1.08316,0.0310262,-0.0310262,-0.00266927,0.00266927
2.49548,1.22929,0.0369733,-0.0369733,-0.0026915,0.0026915
2.69517,1.2883,0.0446087,-0.0446087,-0.00271678,0.00271678
2.89505,1.44735,0.0541222,-0.0541222,-0.00274564,0.00274564
3.09507,1.60991,0.0661396,-0.0661396,-0.00277582,0.00277582
3.29499,1.67023,0.080553,-0.080553,-0.00280928,0.00280928
3.49496,1.70137,0.0988079,-0.0988079,-0.00284775,0.00284775
3.69491,1.90513,0.120757,-0.120757,-0.00288508,0.00288508
3.89526,1.69957,0.145841,-0.145841,-0.00292742,0.00292742
4.17813,1.84387,0.1339,-0.1339,-0.00299187,0.00299187
4.57916,1.86788,0.189315,-0.189315,-0.00308703,0.00308703
4.98334,1.63204,0.259464,-0.259464,-0.00319051,0.00319051
5.38439,1.60122,0.331346,-0.331346,-0.00330173,0.00330173
5.74321,1.11412,0.477551,-0.477551,-0.00340963,0.00340963

