#: table_doi: 10.17182/hepdata.74447.v1/t79
#: name: Table 79
#: description: kaon v3 as a function of pT for centrality: 5-10%.

#: data_file: Table79.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,5-10%
'pT [(GeV/c)]','v3','stat +','stat -','sys +','sys -'
0.437491,0.00114348,0.000532724,-0.000532724,-0.00222852,0.00222852
0.606966,0.00628638,0.000263749,-0.000263749,-0.00217392,0.00217392
0.799961,0.0152798,0.000241548,-0.000241548,-0.00216865,0.00216865
0.997418,0.0255594,0.00026088,-0.00026088,-0.00221164,0.00221164
1.19564,0.0355006,0.000301605,-0.000301605,-0.00229961,0.00229961
1.39467,0.045016,0.000362091,-0.000362091,-0.00242721,0.00242721
1.59458,0.0546679,0.000439442,-0.000439442,-0.00258906,0.00258906
1.79477,0.063904,0.00053905,-0.00053905,-0.00277908,0.00277908
1.99493,0.0710548,0.000660748,-0.000660748,-0.00299196,0.00299196
2.1952,0.0769438,0.000803675,-0.000803675,-0.00322285,0.00322285
2.39538,0.0844054,0.000972701,-0.000972701,-0.00346877,0.00346877
2.59552,0.0864472,0.00116726,-0.00116726,-0.0037263,0.0037263
2.79561,0.0899763,0.00140228,-0.00140228,-0.00399336,0.00399336
2.99591,0.0934454,0.00166657,-0.00166657,-0.00426776,0.00426776
3.19596,0.0915237,0.00196888,-0.00196888,-0.00454913,0.00454913
3.39618,0.0965049,0.00232717,-0.00232717,-0.00483453,0.00483453
3.59608,0.0964513,0.00273893,-0.00273893,-0.00512477,0.00512477
3.79652,0.0921169,0.00319522,-0.00319522,-0.00541861,0.00541861

