#: table_doi: 10.17182/hepdata.74447.v1/t18
#: name: Table 18
#: description: kaon <uQ>2 as a function of pT for centrality: 40-50%.

#: data_file: Table18.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,40-50%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.437443,0.571391,0.0148841,-0.0148841,-0.00367714,0.00367714
0.606341,0.983055,0.00740636,-0.00740636,-0.00368295,0.00368295
0.799318,1.46235,0.00677907,-0.00677907,-0.00368876,0.00368876
0.996749,1.90973,0.00736595,-0.00736595,-0.00369594,0.00369594
1.19575,2.31893,0.00855913,-0.00855913,-0.00370221,0.00370221
1.39501,2.63037,0.0102809,-0.0102809,-0.003709,0.003709
1.59501,2.87788,0.0124992,-0.0124992,-0.00371636,0.00371636
1.79506,3.0622,0.0152965,-0.0152965,-0.00372286,0.00372286
1.99555,3.23392,0.0184155,-0.0184155,-0.00373015,0.00373015
2.19606,3.32839,0.0219541,-0.0219541,-0.00373631,0.00373631
2.39623,3.40173,0.0256896,-0.0256896,-0.00374184,0.00374184
2.59639,3.40248,0.029698,-0.029698,-0.0037496,0.0037496
2.79635,3.40289,0.0343025,-0.0343025,-0.00375693,0.00375693
2.99631,3.45047,0.0394567,-0.0394567,-0.0037641,0.0037641
3.19622,3.26718,0.0458977,-0.0458977,-0.00377059,0.00377059
3.39597,3.26591,0.0536784,-0.0536784,-0.0037809,0.0037809
3.59595,3.18207,0.0628086,-0.0628086,-0.00378443,0.00378443
3.79576,3.15373,0.0741391,-0.0741391,-0.00379032,0.00379032

