#: table_doi: 10.17182/hepdata.74447.v1/t26
#: name: Table 26
#: description: kaon <uQ>3 as a function of pT for centrality: 20-30%.

#: data_file: Table26.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','<uQ>3','stat +','stat -','sys +','sys -'
0.437558,0.0516945,0.0117289,-0.0117289,-0.00310503,0.00310503
0.606926,0.130471,0.00569858,-0.00569858,-0.00306022,0.00306022
0.799831,0.250648,0.00511998,-0.00511998,-0.00305469,0.00305469
0.997183,0.390594,0.00549877,-0.00549877,-0.00308387,0.00308387
1.19571,0.538736,0.00637034,-0.00637034,-0.00314799,0.00314799
1.39484,0.662497,0.00768535,-0.00768535,-0.00324346,0.00324346
1.59479,0.783236,0.00941737,-0.00941737,-0.003364,0.003364
1.79498,0.874073,0.0115871,-0.0115871,-0.00351261,0.00351261
1.9952,0.970568,0.0141362,-0.0141362,-0.00368451,0.00368451
2.19544,1.04758,0.0170391,-0.0170391,-0.00387493,0.00387493
2.39571,1.08503,0.0202995,-0.0202995,-0.00407956,0.00407956
2.59586,1.15059,0.0239901,-0.0239901,-0.00430471,0.00430471
2.7961,1.1332,0.0281259,-0.0281259,-0.00453559,0.00453559
2.99603,1.19902,0.0327722,-0.0327722,-0.00477608,0.00477608
3.19643,1.13214,0.0382307,-0.0382307,-0.00503412,0.00503412
3.39655,1.098,0.0442288,-0.0442288,-0.00529417,0.00529417
3.59658,1.1519,0.0508718,-0.0508718,-0.00556132,0.00556132
3.79629,1.10871,0.0592361,-0.0592361,-0.00582991,0.00582991

