#: table_doi: 10.17182/hepdata.74447.v1/t206
#: name: Table 206
#: description: kaon delta5 as a function of pT for centrality: 10-20%.

#: data_file: Table206.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,10-20%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.432718,0.000444113,0.00115681,-0.00115681,-4.71423e-05,4.71423e-05
0.602588,0.000512661,0.000664748,-0.000664748,-3.65149e-05,3.65149e-05
0.797838,0.00130454,0.000666749,-0.000666749,-2.58874e-05,2.58874e-05
0.996625,0.000677647,0.000742421,-0.000742421,-1.526e-05,1.526e-05
1.19614,0.00136487,0.000851426,-0.000851426,-4.63251e-06,4.63251e-06
1.39539,0.00217993,0.00098975,-0.00098975,-5.99494e-06,5.99494e-06
1.59558,0.00196115,0.00114454,-0.00114454,-1.66224e-05,1.66224e-05
1.79546,0.00229367,0.00135692,-0.00135692,-2.72499e-05,2.72499e-05
1.99508,0.00239239,0.00162333,-0.00162333,-3.78773e-05,3.78773e-05
2.19541,0.0020524,0.00195583,-0.00195583,-4.85048e-05,4.85048e-05
2.47646,0.00526616,0.00182238,-0.00182238,-6.44459e-05,6.44459e-05
2.87672,0.00637833,0.00267112,-0.00267112,-8.57009e-05,8.57009e-05
3.27797,0.00809729,0.00384141,-0.00384141,-0.000106956,0.000106956
3.67711,0.00692711,0.00559757,-0.00559757,-0.000128211,0.000128211

