#: table_doi: 10.17182/hepdata.74447.v1/t134
#: name: Table 134
#: description: pion delta2 as a function of pT for centrality: 0-5%.

#: data_file: Table134.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-5%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.405699,0.00167431,2.00549e-05,-2.00549e-05,-7.28796e-05,7.28796e-05
0.593969,0.00257296,2.1321e-05,-2.1321e-05,-9.74793e-05,9.74793e-05
0.79382,0.00343198,2.72231e-05,-2.72231e-05,-0.000110117,0.000110117
0.993862,0.004097,3.44418e-05,-3.44418e-05,-0.000122755,0.000122755
1.19403,0.00473127,4.33832e-05,-4.33832e-05,-0.000135392,0.000135392
1.39407,0.00523493,5.45514e-05,-5.45514e-05,-0.00014803,0.00014803
1.5945,0.00570168,6.84677e-05,-6.84677e-05,-0.000160667,0.000160667
1.79459,0.00609663,8.48179e-05,-8.48179e-05,-0.000173305,0.000173305
1.9946,0.00660791,0.000104924,-0.000104924,-0.000185943,0.000185943
2.19503,0.00699988,0.000129268,-0.000129268,-0.00019858,0.00019858
2.39502,0.00714115,0.000157414,-0.000157414,-0.000211218,0.000211218
2.59533,0.00775249,0.000190268,-0.000190268,-0.000223856,0.000223856
2.79575,0.00827702,0.00022653,-0.00022653,-0.000236493,0.000236493
2.99589,0.00884584,0.000266208,-0.000266208,-0.000249131,0.000249131
3.19627,0.00942968,0.000310937,-0.000310937,-0.000261769,0.000261769
3.39666,0.00956278,0.000356812,-0.000356812,-0.000274406,0.000274406
3.59657,0.00973702,0.000409115,-0.000409115,-0.000287044,0.000287044
3.79698,0.0099938,0.000466591,-0.000466591,-0.000299681,0.000299681
4.085,0.0108114,0.00039832,-0.00039832,-0.000318638,0.000318638
4.48648,0.0113934,0.000499215,-0.000499215,-0.000343913,0.000343913
4.88692,0.0123981,0.000622097,-0.000622097,-0.000369188,0.000369188
5.28891,0.0131851,0.000765616,-0.000765616,-0.000394464,0.000394464
5.68944,0.0137305,0.000928127,-0.000928127,-0.000419739,0.000419739

