#: table_doi: 10.17182/hepdata.74447.v1/t203
#: name: Table 203
#: description: kaon delta5 as a function of pT for centrality: 0-1%.

#: data_file: Table203.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-1%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.432718,0.000351581,0.00091589,-0.00091589,-3.73218e-05,3.73218e-05
0.602588,0.000405682,0.000526364,-0.000526364,-2.89082e-05,2.89082e-05
0.797838,0.00103257,0.00052807,-0.00052807,-2.04946e-05,2.04946e-05
0.996625,0.000536417,0.000587822,-0.000587822,-1.2081e-05,1.2081e-05
1.19614,0.00108027,0.000674272,-0.000674272,-3.66748e-06,3.66748e-06
1.39539,0.00172572,0.000783922,-0.000783922,-4.74609e-06,4.74609e-06
1.59558,0.00155261,0.000906363,-0.000906363,-1.31597e-05,1.31597e-05
1.79546,0.00181586,0.00107454,-0.00107454,-2.15732e-05,2.15732e-05
1.99508,0.00189377,0.00128545,-0.00128545,-2.99868e-05,2.99868e-05
2.19541,0.00162468,0.00154859,-0.00154859,-3.84004e-05,3.84004e-05
2.47646,0.00416668,0.00144352,-0.00144352,-5.10207e-05,5.10207e-05
2.87672,0.00504909,0.0021153,-0.0021153,-6.78479e-05,6.78479e-05
3.27797,0.00640946,0.00304188,-0.00304188,-8.4675e-05,8.4675e-05
3.67711,0.00548279,0.0044321,-0.0044321,-0.000101502,0.000101502

