#: table_doi: 10.17182/hepdata.74447.v1/t165
#: name: Table 165
#: description: kaon delta3 as a function of pT for centrality: 20-30%.

#: data_file: Table165.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','delta3','stat +','stat -','sys +','sys -'
0.432718,0.000963242,0.000313797,-0.000313797,-9.81414e-05,9.81414e-05
0.602588,0.000848299,0.000180311,-0.000180311,-9.0208e-05,9.0208e-05
0.797838,0.000955173,0.000180837,-0.000180837,-8.22746e-05,8.22746e-05
0.996625,0.00164991,0.000201387,-0.000201387,-7.43412e-05,7.43412e-05
1.19614,0.00223457,0.000230936,-0.000230936,-6.64077e-05,6.64077e-05
1.39539,0.0029499,0.00026844,-0.00026844,-5.84743e-05,5.84743e-05
1.59558,0.00301463,0.000310446,-0.000310446,-5.05409e-05,5.05409e-05
1.79546,0.00282565,0.000368051,-0.000368051,-4.26075e-05,4.26075e-05
1.99508,0.00334793,0.000440319,-0.000440319,-3.46741e-05,3.46741e-05
2.19541,0.00404553,0.000530529,-0.000530529,-2.67407e-05,2.67407e-05
2.39532,0.0032134,0.000642709,-0.000642709,-1.88072e-05,1.88072e-05
2.59488,0.00429215,0.000773162,-0.000773162,-1.08738e-05,1.08738e-05
2.79488,0.00372853,0.000944391,-0.000944391,-2.94042e-06,2.94042e-06
2.9951,0.00423219,0.00112946,-0.00112946,-4.993e-06,4.993e-06
3.19652,0.0054715,0.00135605,-0.00135605,-1.29264e-05,1.29264e-05
3.3945,0.00244362,0.00162804,-0.00162804,-2.08598e-05,2.08598e-05
3.59507,0.00249101,0.00198106,-0.00198106,-2.87933e-05,2.87933e-05
3.79651,0.0056381,0.00236383,-0.00236383,-3.67267e-05,3.67267e-05

