#: table_doi: 10.17182/hepdata.74447.v1/t56
#: name: Table 56
#: description: kaon v2 as a function of pT for centrality: 0-1%.

#: data_file: Table56.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,0-1%
'pT [(GeV/c)]','v2','stat +','stat -','sys +','sys -'
0.437333,0.00350385,0.000948623,-0.000948623,-0.00384531,0.00384531
0.606815,0.00958978,0.000458574,-0.000458574,-0.00384039,0.00384039
0.799984,0.0174521,0.00041324,-0.00041324,-0.00384404,0.00384404
0.997249,0.0238415,0.000444964,-0.000444964,-0.00384976,0.00384976
1.19561,0.0296385,0.000518416,-0.000518416,-0.00385659,0.00385659
1.39463,0.0332044,0.000628028,-0.000628028,-0.00386283,0.00386283
1.59457,0.0376036,0.000770178,-0.000770178,-0.00386871,0.00386871
1.7947,0.0402002,0.000952996,-0.000952996,-0.00387743,0.00387743
1.99495,0.0436436,0.00117363,-0.00117363,-0.00388273,0.00388273
2.19502,0.0424985,0.00143503,-0.00143503,-0.00389254,0.00389254
2.39521,0.0454091,0.00174602,-0.00174602,-0.00389655,0.00389655
2.59547,0.0463061,0.00211312,-0.00211312,-0.00390064,0.00390064
2.79552,0.0448479,0.00254121,-0.00254121,-0.00390949,0.00390949
2.99576,0.0396164,0.0030368,-0.0030368,-0.00391619,0.00391619
3.19576,0.0439011,0.00361147,-0.00361147,-0.00392423,0.00392423
3.39581,0.042445,0.00426813,-0.00426813,-0.00392067,0.00392067
3.59593,0.023849,0.00506099,-0.00506099,-0.00394282,0.00394282
3.79601,0.0275414,0.00590419,-0.00590419,-0.00395847,0.00395847

