#: table_doi: 10.17182/hepdata.74447.v1/t207
#: name: Table 207
#: description: kaon delta5 as a function of pT for centrality: 20-30%.

#: data_file: Table207.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
#: Centrality,20-30%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.432718,0.000530127,0.00138087,-0.00138087,-5.62728e-05,5.62728e-05
0.602588,0.000611931,0.000793507,-0.000793507,-4.35871e-05,4.35871e-05
0.797838,0.00155718,0.00079591,-0.00079591,-3.09013e-05,3.09013e-05
0.996625,0.000808885,0.00088622,-0.00088622,-1.82155e-05,1.82155e-05
1.19614,0.00162918,0.00101636,-0.00101636,-5.52973e-06,5.52973e-06
1.39539,0.00260213,0.00118149,-0.00118149,-7.15604e-06,7.15604e-06
1.59558,0.00234099,0.00136625,-0.00136625,-1.98418e-05,1.98418e-05
1.79546,0.00273791,0.00161977,-0.00161977,-3.25276e-05,3.25276e-05
1.99508,0.00285572,0.00193777,-0.00193777,-4.52134e-05,4.52134e-05
2.19541,0.00244989,0.00233466,-0.00233466,-5.78991e-05,5.78991e-05
2.47646,0.00628581,0.00217543,-0.00217543,-7.69278e-05,7.69278e-05
2.87672,0.00761362,0.00318853,-0.00318853,-0.000102299,0.000102299
3.27797,0.00966545,0.0045855,-0.0045855,-0.000127671,0.000127671
3.67711,0.0082686,0.00668177,-0.00668177,-0.000153042,0.000153042

